"Drug","Metric","Estimate","CI_2.5","CI_97.5"
"MMF","AUROC",0.866355660582355,0.581869492279085,0.990645711500975
"MMF","MCC",0.604413504389719,0.176256834262226,0.85803467971872
"MMF","Sensitivity",0.905660377358491,0.781818181818182,0.983333333333333
"MMF","Specificity",0.769230769230769,0.333333333333333,1
"AZA","AUROC",0.745574874686717,0.368485962566845,0.969298245614035
"AZA","MCC",0.421973313137461,-0.110381481117054,0.822935570256632
"AZA","Sensitivity",0.733333333333333,0.272727272727273,1
"AZA","Specificity",0.714285714285714,0.362824675324675,1
"HC","AUROC",0.736361381673882,0.546993461057444,0.89990392394822
"HC","MCC",0.510084075667241,0.114374838248958,0.7694220058738
"HC","Sensitivity",0.948979591836735,0.887755102040816,0.99
"HC","Specificity",0.545454545454545,0.166666666666667,0.875
"SOC","AUROC",0.587105690501666,0.484521447387316,0.7000569652604
"SOC","MCC",0.173984811476397,-0.022268392635225,0.359504797731089
"SOC","Sensitivity",0.88034188034188,0.825680792194554,0.930775862068965
"SOC","Specificity",0.27027027027027,0.111111111111111,0.4359375
