"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","celltype","direction"
"GO:0060079","excitatory postsynaptic potential",27,0.714065541450389,2.39004739470319,2.23540155638075e-07,0.00095451646457458,0.000695659859235775,1551,"tags=52%, list=14%, signal=45%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.690132458796796,"Activated_CD4_T","HL"
"GO:0060078","regulation of postsynaptic membrane potential",28,0.692039875429269,2.42761889308033,1.13334265626142e-06,0.00222443026506783,0.00162118402616194,1551,"tags=50%, list=14%, signal=43%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.643551836150722,"Activated_CD4_T","HL"
"GO:0098815","modulation of excitatory postsynaptic potential",17,0.782890979880465,2.38383742009635,1.56283156796334e-06,0.00222443026506783,0.00162118402616194,1192,"tags=53%, list=11%, signal=47%","DVL1/APP/PTK2B/ELOVL4/PRKCZ/WNT7A/BAIAP2/DLG4/TMEM25",0.643551836150722,"Activated_CD4_T","HL"
"GO:2000463","positive regulation of excitatory postsynaptic potential",12,0.852176845101628,2.29068277689668,2.46050436345517e-06,0.00262658840798839,0.00191428036077502,863,"tags=58%, list=8%, signal=54%","DVL1/APP/PTK2B/PRKCZ/WNT7A/BAIAP2/DLG4",0.627256739718528,"Activated_CD4_T","HL"
"GO:0006338","chromatin remodeling",483,0.28595925858432,1.58128987990167,4.66694517912882e-06,0.00398557118297601,0.00290471876706598,2834,"tags=35%, list=26%, signal=27%","SAMD1/USP7/MBD2/YY1/PKN1/MSL1/BRD4/HLTF/TADA2B/BPTF/CIZ1/MPHOSPH8/KAT2A/APP/POLE3/CABIN1/HDGFL2/YTHDC1/MBD3/KMT2A/CFDP1/BRD1/BRD3/KMT2B/HDAC10/HDAC5/HCFC1/UIMC1/OGG1/CHD4/UTY/PAXIP1/PSIP1/BMI1/CHD8/AUTS2/CBX4/DEK/SET/L3MBTL2/SFPQ/SMARCC2/CHD3/PCID2/BARD1/BAZ1B/HIRA/MIER2/BCOR/SUPT16H/MYBBP1A/CSNK2A2/SIRT1/SMARCA4/CREBBP/CARM1/SMYD2/HPF1/MEN1/DOT1L/BCL7C/HIPK2/ZBTB7A/TNRC18/NFRKB/TRIM28/PHC2/CHD7/RUVBL2/CDK9/BCORL1/ASH2L/KMT5A/KMT2D/DNMT1/CGGBP1/SPEN/METTL23/SMARCC1/ZNF445/DDX23/BRD7/PWWP2B/SKP1/SETMAR/PCNA/ZNF512/ACTR8/SUPT4H1/BRCA2/PKM/SETD3/DNMT3A/RNF20/TFPT/INO80/JADE2/ARID1A/PHF10/HDAC3/PCGF1/REST/SUZ12/TDG/MCM3AP/NBN/SETD2/KDM1A/SCMH1/BAHD1/HP1BP3/SMARCA2/PHF8/NSD2/RESF1/PHF2/CBX6/RBM15B/WDR5/ZFP57/MTA1/TP53BP1/NAP1L1/CBX3/APOBEC3F/TAF6L/HDAC7/EP300/EOMES/MYC/SRCAP/TRIM27/USP36/ING3/PRKCB/YEATS4/CDYL/GTF3C4/HNRNPU/KMT2E/SMARCE1/KMT5B/BRCC3/ZNHIT1/RBBP7/RYBP/MIER1/RBBP5/NAA40/NTMT1/SART3/CHTOP/CHRAC1/BRPF3/KDM5D/ACTR5/GATAD2A/E2F6/CHAF1A/CBX1/RAD23A/TAF10/USP22/ZNFX1/HMGA1/EHMT1/MTA3/ATR/APEX1/RRP8",0.610526878385931,"Activated_CD4_T","HL"
"GO:0099565","chemical synaptic transmission, postsynaptic",30,0.655006419782813,2.2935930382735,5.9920699869671e-06,0.00426435647405825,0.00310789989965934,1551,"tags=47%, list=14%, signal=40%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.610526878385931,"Activated_CD4_T","HL"
"GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",72,0.483986880638909,2.05366964860485,8.68594284682537e-06,0.00529842513656347,0.00386153808914738,1677,"tags=38%, list=15%, signal=32%","ENTR1/CARMIL2/SEPTIN9/MARK4/RHOQ/FMR1/CCR7/RAP2A/CROCC/RAB11FIP3/AUTS2/HRAS/SEPTIN7/P2RX7/TWF2/NEURL1/WASHC1/WRAP73/EPS8L2/PIK3CA/RALA/FSCN1/AKIRIN1/RAPGEF2/ABI2/F2RL1/PPP1R35",0.593325476396405,"Activated_CD4_T","HL"
"GO:0031344","regulation of cell projection organization",304,0.308216898633433,1.63488056658038,2.01899874460779e-05,0.0107764057993441,0.00785393779957533,1920,"tags=27%, list=18%, signal=23%","DVL1/TESK1/ENTR1/DMTN/CARMIL2/MYCBP2/CDK5R1/KAT2A/SEPTIN9/APP/ODF2/LIMK1/MARK4/RHOQ/FMR1/CCR7/RAP2A/CERS2/CORO1B/CROCC/PTK2B/PRAG1/RAB11FIP3/AUTS2/WAS/STMN3/AKT1/HRAS/SEPTIN7/ATF1/TCHP/FKBP4/TRIM32/P2RX7/TWF2/CAMK2G/DVL3/NEURL1/ITM2C/DENND5A/BAIAP2/WASHC1/CARM1/YTHDF1/DLG4/NCKIPSD/WRAP73/ACAP3/CBFA2T2/GDI2/DDX56/EPS8L2/YWHAH/GSK3A/LRP8/PIK3CA/AMIGO1/RALA/KANK1/CDKL1/FSCN1/RAB21/CIB1/RAB8B/AKIRIN1/ANAPC2/CUL7/FER/RAPGEF2/ABI2/SETX/F2RL1/SS18L1/ITGA6/PPP1R35/CAMK1/SMAD1/APC/ABHD17B/GDI1/APBB1/WASHC5/EVL",0.575610261071129,"Activated_CD4_T","HL"
"GO:0061061","muscle structure development",262,0.312743285409167,1.62234449583509,5.04904423830727e-05,0.0239549098861912,0.0174585456175034,2801,"tags=39%, list=26%, signal=30%","YY1/PLEKHO1/PDLIM2/UNC45A/SEMA4C/KAT2A/HDGFL2/ACTN1/ZFPM1/ZNF609/HDAC5/MTLN/FLII/ID3/SMARCC2/PAXBP1/MRTFA/VRK3/MYH11/RBM38/PIEZO1/NEURL1/SIRT1/SMARCA4/TMEM182/PDLIM1/RPL12/QKI/TGFB1/S1PR1/CDK9/RCAN1/MAML1/GSK3A/NOG/BIN1/PTBP1/OLFM2/TPM1/TOMM70/SMAD4/SMARCC1/AKIRIN1/BRD7/TCF7L2/ZBED6/MEF2B/DAG1/PDCD4/USP19/COL6A3/CHRNB1/OBSCN/EID2/EEF2/ACTN4/ARID1A/PHF10/REST/KDM1A/CAMK1/SMARCA2/S100B/RPL5/NFATC1/ACVR1/RPL36/RPL30/CD164/RPL9/TMOD2/SFMBT1/CTNNB1/RPL36A/RPL11/RPL7/CASP7/RPL21/RPL4/SRF/ZFP36L1/SMARCE1/RPL28/RPLP2/KMT5B/ZNHIT1/RPL23/NACA/DOCK2/MEF2D/RPL41/CACYBP/PLCB1/RPL38/RPL34/XKR8/PRR14/CD81/FOXK1/FXR1/ASB2/SELENON/EHMT1",0.557332238758646,"Activated_CD4_T","HL"
"GO:1903564","regulation of protein localization to cilium",11,0.794976144753406,2.09273445677197,6.15421611294453e-05,0.0262785028022732,0.0191520002418229,1014,"tags=55%, list=9%, signal=50%","ENTR1/GRK2/CROCC/ARRB1/LZTFL1/GDI2",0.538434096309916,"Activated_CD4_T","HL"
