"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DVL1",9.75574918977381,1.45570996427003,0.280526630644386,5.18920417974644,2.11194723030291e-07,0.00136473020722554
"MAZ",204.718911888127,0.780990215497928,0.151418041602828,5.15784121383948,2.49813327333981e-07,0.00136473020722554
"PTPN22",81.7924533440831,-0.67784594126607,0.135975158404064,-4.98507190005824,6.19387754984003e-07,0.00158772223774503
"SAMD1",18.1776110570843,1.49767592692907,0.302309113012725,4.95412100549555,7.26579826901444e-07,0.00158772223774503
"CENPB",27.485828299747,1.31677542592478,0.265076604422352,4.96752789177402,6.78118073809902e-07,0.00158772223774503
"AC136475.3",16.4172662867801,1.58607445104162,0.33806405480501,4.69163884328503,2.7102524763709e-06,0.00484286528919888
"USP7",57.8071336853754,0.742267701694262,0.159151660177097,4.66390172033582,3.10269604836099e-06,0.00484286528919888
"DBNDD1",3.96412094299684,3.07045697114703,0.672863491860023,4.56326878823407,5.0363268888492e-06,0.0068783634484458
"TESK1",12.8300651561504,1.44006473899658,0.318951799068638,4.51499174233122,6.33192330546442e-06,0.00768695489283381
"FOXK2",20.8654850974988,0.992689714011615,0.228036942305777,4.35319691614048,1.34166536523576e-05,0.0146590357805659
"MBD2",89.9501036644722,1.11827574395078,0.266953888571177,4.18902211889909,2.80159094854483e-05,0.0278274388216371
"NEAT1",388.810123324631,-0.611499875507145,0.147723960070859,-4.13947659684879,3.48099108116378e-05,0.0310562941958722
"KCTD5",28.156313842942,1.19200199842818,0.288917050927523,4.12575856842454,3.69514757959306e-05,0.0310562941958722
"CTDNEP1",158.96679905511,0.89940303246964,0.220032570021849,4.08759045254223,4.35876750668109e-05,0.034017066984284
"CD79A",17.7649065534934,1.76452385181604,0.436180953477468,4.04539409102646,5.22351769444523e-05,0.0380481028863391
"PATL2",51.4797676743104,-1.19505690075046,0.299091053046694,-3.99562905201276,6.45226970752877e-05,0.0440609367652871
"ARHGAP45",344.950051959283,0.296933724663168,0.0750140355450139,3.95837555606492,7.54612402966453e-05,0.0484993830283027
"UBE2Q1",38.684659677965,0.840331308025034,0.217380114150513,3.86572300464978,0.000110760590135092,0.0560965094724368
"TMEM44-AS1",22.0781382727374,-0.960840252379917,0.246429773275222,-3.89904287785395,9.65736737040743e-05,0.0560965094724368
"RHOH",380.320990358523,-0.298592771667192,0.0769556600063565,-3.88006251447298,0.000104429620846177,0.0560965094724368
"HIST1H3A",9.86983004776597,-2.09201449882202,0.538451841454551,-3.88523975174965,0.000102228952067355,0.0560965094724368
"FAM126A",29.2753904832222,-0.887069485110389,0.229754956829743,-3.86093731056145,0.000112952883799525,0.0560965094724368
"CLPTM1L",62.9277577817794,0.779481049944664,0.206630859799846,3.77233609103554,0.000161726207057766,0.076826979926659
