"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0060078","regulation of postsynaptic membrane potential",28,0.692039875429269,2.42761889308033,1.13334265626142e-06,0.00222443026506783,0.00162118402616194,1551,"tags=50%, list=14%, signal=43%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.643551836150722
"GO:0060079","excitatory postsynaptic potential",27,0.714065541450389,2.39004739470319,2.23540155638075e-07,0.00095451646457458,0.000695659859235775,1551,"tags=52%, list=14%, signal=45%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.690132458796796
"GO:0098815","modulation of excitatory postsynaptic potential",17,0.782890979880465,2.38383742009635,1.56283156796334e-06,0.00222443026506783,0.00162118402616194,1192,"tags=53%, list=11%, signal=47%","DVL1/APP/PTK2B/ELOVL4/PRKCZ/WNT7A/BAIAP2/DLG4/TMEM25",0.643551836150722
"GO:0099565","chemical synaptic transmission, postsynaptic",30,0.655006419782813,2.2935930382735,5.9920699869671e-06,0.00426435647405825,0.00310789989965934,1551,"tags=47%, list=14%, signal=40%","DVL1/APP/PTK2B/ELOVL4/AKT1/PRKCZ/ADORA2A/WNT7A/P2RX7/BAIAP2/DLG4/GSK3A/TMEM25/CHRNB1",0.610526878385931
"GO:2000463","positive regulation of excitatory postsynaptic potential",12,0.852176845101628,2.29068277689668,2.46050436345517e-06,0.00262658840798839,0.00191428036077502,863,"tags=58%, list=8%, signal=54%","DVL1/APP/PTK2B/PRKCZ/WNT7A/BAIAP2/DLG4",0.627256739718528
"GO:1903564","regulation of protein localization to cilium",11,0.794976144753406,2.09273445677197,6.15421611294453e-05,0.0262785028022732,0.0191520002418229,1014,"tags=55%, list=9%, signal=50%","ENTR1/GRK2/CROCC/ARRB1/LZTFL1/GDI2",0.538434096309916
"GO:0120034","positive regulation of plasma membrane bounded cell projection assembly",72,0.483986880638909,2.05366964860485,8.68594284682537e-06,0.00529842513656347,0.00386153808914738,1677,"tags=38%, list=15%, signal=32%","ENTR1/CARMIL2/SEPTIN9/MARK4/RHOQ/FMR1/CCR7/RAP2A/CROCC/RAB11FIP3/AUTS2/HRAS/SEPTIN7/P2RX7/TWF2/NEURL1/WASHC1/WRAP73/EPS8L2/PIK3CA/RALA/FSCN1/AKIRIN1/RAPGEF2/ABI2/F2RL1/PPP1R35",0.593325476396405
"GO:2000767","positive regulation of cytoplasmic translation",14,0.70109930776718,2.01896985812221,0.000689145926422923,0.154876479253994,0.112875318295096,2551,"tags=64%, list=23%, signal=49%","YBX1/PKM/EEF2/YBX3/PABPC1/SYNCRIP/HNRNPD/HNRNPU/DHX9",0.477270815362862
"GO:0046426","negative regulation of receptor signaling pathway via JAK-STAT",22,-0.627831135046974,-1.9582121656572,0.000403900533484434,0.101450310469326,0.0739378641645236,2582,"tags=55%, list=24%, signal=42%","SOCS2/PIBF1/SH2B3/BCL3/NF2/PIAS2/PTPN2/PIAS1/IL7/SOCS1/CISH/SOCS3",0.49849310876659
"GO:1904893","negative regulation of receptor signaling pathway via STAT",22,-0.627831135046974,-1.9582121656572,0.000403900533484434,0.101450310469326,0.0739378641645236,2582,"tags=55%, list=24%, signal=42%","SOCS2/PIBF1/SH2B3/BCL3/NF2/PIAS2/PTPN2/PIAS1/IL7/SOCS1/CISH/SOCS3",0.49849310876659
"GO:0099054","presynapse assembly",14,0.670396722058418,1.93055500101756,0.00207935839681085,0.30117116734379,0.219496152927684,1939,"tags=57%, list=18%, signal=47%","DVL1/CLSTN3/APP/LRFN3/WNT7A/EIF4G1/MDGA1/LRFN4",0.431707695803346
"GO:0006346","DNA methylation-dependent constitutive heterochromatin formation",17,0.626574189843852,1.90786589525451,0.00240259211630041,0.320595885518836,0.23365305562435,1515,"tags=41%, list=14%, signal=36%","MBD2/MBD3/KMT2A/SIRT1/TRIM28/DNMT1/DNMT3A",0.431707695803346
"GO:0089718","amino acid import across plasma membrane",18,-0.630012469677054,-1.88905490028849,0.00218648856853805,0.30117116734379,0.219496152927684,1644,"tags=50%, list=15%, signal=43%","SLC36A4/SLC7A1/SLC7A6/SLC38A2/SLC3A2/ITGB1/ARL6IP1/RGS2/SLC38A1",0.431707695803346
"GO:0045880","positive regulation of smoothened signaling pathway",14,0.651345975503522,1.87569418081285,0.00362434139323376,0.352408584183034,0.256838425700192,629,"tags=29%, list=6%, signal=27%","GRK2/MAPK1/TEDC1/DYRK2",0.431707695803346
