"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","celltype","direction"
"GO:0000768","syncytium formation by plasma membrane fusion",49,0.707354973161639,2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=76%, list=19%, signal=63%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0006949","syncytium formation",49,0.707354973161639,2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=76%, list=19%, signal=63%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0140253","cell-cell fusion",49,0.707354973161639,2.80516646766955,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=76%, list=19%, signal=63%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.742860769880669,2.79649299402659,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=78%, list=19%, signal=65%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:1901740","negative regulation of myoblast fusion",45,0.742860769880669,2.79649299402659,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=78%, list=19%, signal=65%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",48,0.704982715841034,2.72903494474898,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=75%, list=19%, signal=63%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/TYROBP/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0007520","myoblast fusion",48,0.704632885833792,2.72768072954195,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=75%, list=19%, signal=63%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:1901739","regulation of myoblast fusion",47,0.702195265049039,2.69446737092742,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=74%, list=19%, signal=62%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6",NA,"Mast_cells","HL"
"GO:0002181","cytoplasmic translation",121,0.530248796534719,2.4474877097732,1e-10,1.95222222222222e-08,1.15605076551623e-08,302,"tags=53%, list=19%, signal=47%","RPS17/RPS10/RPS28/RPL17/RPL26/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPS15A/RPLP2/RPS14/RPL31/RPS8/RPL24/RPL9/RPS29/RPL13A/RPS15/YBX1/RPL35A/RPL27/RPS21/RPS24/RPL28/RPS7/RPL21/RPL10A/SH3BGRL/RPSA/TCF25/RPL37/RPS23/RPS11/RPS25/RPL41/RPS27A/RPL11/RPL5/RPS16/UBA52/EIF3B/RPL22/RPL19/RPL30/RPS2/RPS20/RPL7/RPL35/RPS13/RPL29/RPL18A/RPS27/RPL37A/RPS12/RPL15/EIF3I/RPL6",NA,"Mast_cells","HL"
"GO:0014902","myotube differentiation",51,0.672458622054034,2.67014695439222,1.30196582987313e-10,2.28755396308708e-08,1.35462473487073e-08,302,"tags=73%, list=19%, signal=61%","RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/NACA/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6",0.826657301178302,"Mast_cells","HL"
