"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NOC2L",1.43676070399537,0.00252293680293182,0.684542407976643,0.00368558145343992,0.997059338118139,0.999191353387358
"ISG15",27.5859917168171,-0.0718050653653616,0.420607533077429,-0.170717497235465,0.864445903998183,0.999191353387358
"SDF4",1.82886163097304,0.0691350667782571,0.63987474973558,0.108044686568467,0.913960244906234,0.999191353387358
"UBE2J2",1.57592316009388,0.0956258927625977,0.735615768793876,0.129994348706509,0.896570897831148,0.999191353387358
"AURKAIP1",6.45339709616761,-0.0298778889234065,0.46093000455107,-0.0648208808895105,0.948316615866342,0.999191353387358
"CCNL2",1.61010113809021,0.0894558441803969,0.636667273673133,0.140506427579194,0.888259874396008,0.999191353387358
"MRPL20",4.58991106713695,-0.152199722986608,0.401892939475141,-0.37870713326135,0.704905355680349,0.999191353387358
"SSU72",4.3723646039542,-0.354230751003918,0.454299701029093,-0.77972921884277,0.435550276515538,0.999191353387358
"NADK",3.33474075671929,-0.290492988876599,0.491652628371204,-0.590850067941208,0.554620884478795,0.999191353387358
"GNB1",5.27361051155739,0.0733636048030831,0.374619062300059,0.195835215519068,0.844739145723579,0.999191353387358
"FAAP20",4.19192749074944,0.224958101208903,0.432268003624454,0.520413491914017,0.602775408411206,0.999191353387358
"RER1",2.95464781934148,-0.173343640045246,0.505143133717416,-0.343157470575887,0.731479997737771,0.999191353387358
"TNFRSF14",4.20308018665685,0.48058586666873,0.41837739406383,1.14868985152532,0.250683892011126,0.999191353387358
"KCNAB2",1.33537594656168,-0.0626590325012668,0.751988032256064,-0.0833245075899431,0.933593513812999,0.999191353387358
"RPL22",42.3700227049207,0.0984120709035878,0.216837300048855,0.453852131904497,0.649935258640677,0.999191353387358
"CAMTA1",1.98007946083689,0.448600642988265,0.636922793710855,0.704324994203171,0.481230404443725,0.999191353387358
"PARK7",6.31441933008368,-0.43673873282827,0.431308677703636,-1.01258971916249,0.311256172526571,0.999191353387358
"ENO1",12.1987284047542,-0.507333243598358,0.324659802413326,-1.56266109887072,0.118132328926678,0.999191353387358
