"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002399","MHC class II protein complex assembly",13,0.740307409168144,2.00271423294121,0.000249078116005318,0.022802286872445,0.0129792019099889,186,"tags=46%, list=7%, signal=43%","HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DMB/HLA-DQA1/HLA-DRB5",0.49849310876659
"GO:0002503","peptide antigen assembly with MHC class II protein complex",13,0.740307409168144,2.00271423294121,0.000249078116005318,0.022802286872445,0.0129792019099889,186,"tags=46%, list=7%, signal=43%","HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DMB/HLA-DQA1/HLA-DRB5",0.49849310876659
"GO:0061620","glycolytic process through glucose-6-phosphate",10,-0.778954309105238,-1.97950325593565,0.000850066524929007,0.0409980001085552,0.0233363137781464,193,"tags=60%, list=7%, signal=56%","PGK1/PKM/TPI1/ENO1/GAPDH/ALDOA",0.477270815362862
"GO:0038066","p38MAPK cascade",10,-0.775143656591201,-1.96981950559163,0.00108967939040505,0.0494628978193663,0.0281545856098541,304,"tags=50%, list=12%, signal=44%","EZR/LGALS9/ZFP36/GADD45B/DUSP1",0.45505986738723
"GO:0009913","epidermal cell differentiation",20,-0.621569802569344,-1.96672915008675,0.000723097536386339,0.0368987504334651,0.0210029956548337,296,"tags=40%, list=11%, signal=36%","PPP3CA/NCOA3/PAFAH1B1/ANXA1/ASAH1/ZFP36/TXNIP/MAFB",0.477270815362862
"GO:0050866","negative regulation of cell activation",54,-0.487185330689579,-1.95738358293523,0.000175272178244792,0.0226205481456498,0.0128757551090985,521,"tags=46%, list=20%, signal=38%","VSIR/PTPRC/PSMA4/IRF1/PSMA2/CSK/BANK1/PTPN2/FGR/ID2/PSMA7/LILRB1/PSMA3/PSMB3/PSMA6/RIPOR2/PSMA1/LGALS9/GRN/ANXA1/HLA-E/LILRB2/CST7/CD69/CLEC12A",0.518848077743792
"GO:0002695","negative regulation of leukocyte activation",52,-0.496032927156067,-1.95024145746908,8.04530470614608e-05,0.0148002462438441,0.00842439117580537,521,"tags=48%, list=20%, signal=39%","VSIR/PTPRC/PSMA4/IRF1/PSMA2/CSK/BANK1/PTPN2/FGR/ID2/PSMA7/LILRB1/PSMA3/PSMB3/PSMA6/RIPOR2/PSMA1/LGALS9/GRN/ANXA1/HLA-E/LILRB2/CST7/CD69/CLEC12A",0.538434096309916
"GO:0034341","response to type II interferon",54,-0.483748293781397,-1.94357446514325,0.000187464728132708,0.0226205481456498,0.0128757551090985,515,"tags=46%, list=20%, signal=38%","CIITA/PSMA4/IRF1/PSMA2/RPL13A/JAK2/GBP1/PTPN2/PARP14/PSMA7/PSMA3/PSMB3/IFNGR1/PSMA6/PSMA1/LGALS9/PARP9/CALM1/NUB1/CASP1/NR1H2/GAPDH/BST2/HCK/CCL3",0.518848077743792
"GO:0030879","mammary gland development",12,-0.721330351211012,-1.9404421173871,0.000552229840090746,0.0329968584511476,0.0187820147438943,414,"tags=50%, list=16%, signal=42%","JAK2/NCOR2/ID2/OAS2/RTN4/XBP1",0.477270815362862
"GO:0043588","skin development",22,-0.595972391721592,-1.93364512764601,0.00151261078311766,0.0603740338434033,0.0343652713325421,296,"tags=41%, list=11%, signal=37%","PPP3CA/NCOA3/KLF4/ANXA1/ASAH1/ZFP36/TNFSF13B/TXNIP/MAFB",0.45505986738723
"GO:1903038","negative regulation of leukocyte cell-cell adhesion",39,-0.517017055779458,-1.92257049734206,0.000570140102827604,0.0329968584511476,0.0187820147438943,546,"tags=51%, list=21%, signal=41%","WNK1/VSIR/PSMA4/IRF1/PSMA2/CSK/PTPN2/PSMA7/LILRB1/PSMA3/PSMB3/PSMA6/RIPOR2/KLF4/PSMA1/LGALS9/ANXA1/HLA-E/LILRB2/CD69",0.477270815362862
"GO:1902106","negative regulation of leukocyte differentiation",35,-0.524201990692936,-1.9202316510471,0.00114839419270628,0.0501609916248121,0.0285519448968274,496,"tags=46%, list=19%, signal=38%","PSMA4/IRF1/PSMA2/PTPN2/ID2/PSMA7/LILRB1/PSMA3/PSMB3/PSMA6/PSMA1/ANXA1/MAFB/CCL3/CD69/CLEC12A",0.45505986738723
"GO:0017148","negative regulation of translation",41,-0.513244188905824,-1.91815739924653,0.000303171439366877,0.0250657815047971,0.0142675969740374,583,"tags=46%, list=22%, signal=37%","SERBP1/NCL/CELF1/PCIF1/TNRC6B/GZMB/CAPRIN1/RPL13A/CIRBP/RACK1/CALR/ATF4/RGS2/EIF2AK2/YBX1/BTG2/RPS3/ZFP36/GAPDH",0.49849310876659
"GO:0045620","negative regulation of lymphocyte differentiation",23,-0.575426748838807,-1.90957964520303,0.00196617538594783,0.0734144519107941,0.0417879574882832,496,"tags=52%, list=19%, signal=43%","PSMA4/IRF1/PSMA2/PTPN2/ID2/PSMA7/PSMA3/PSMB3/PSMA6/PSMA1/ANXA1/CD69",0.431707695803346
"GO:0043436","oxoacid metabolic process",105,-0.419887148764968,-1.90597709131803,2.52846320015525e-05,0.00975565384726568,0.00555297816205592,460,"tags=35%, list=18%, signal=30%","LDHB/ST6GAL1/SDHB/ODC1/TXN2/NAAA/OAZ1/PTGES3/ZBTB7A/ATF4/GPI/SCPEP1/LYPLA1/LTA4H/ABHD14B/PARK7/IDH3B/ETFB/MDH2/PGK1/ALKBH7/FBP1/PARP9/GSTP1/CASP1/PKM/TPI1/ASAH1/NR1H2/ENO1/GAPDH/NAMPT/SLC2A3/XBP1/GLUL/ALDOA/P4HB",0.575610261071129
"GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway",15,-0.666084098619819,-1.90538541135726,0.00163311127292507,0.0640788575732463,0.036474079782306,403,"tags=47%, list=15%, signal=40%","RACK1/NONO/ATF4/MCL1/PARK7/HSPB1/P4HB",0.45505986738723
"GO:0019752","carboxylic acid metabolic process",103,-0.421730994830862,-1.89764999609249,2.01869417293323e-05,0.00975565384726568,0.00555297816205592,460,"tags=35%, list=18%, signal=30%","LDHB/ST6GAL1/SDHB/ODC1/TXN2/NAAA/OAZ1/PTGES3/ZBTB7A/ATF4/GPI/SCPEP1/LYPLA1/LTA4H/PARK7/IDH3B/ETFB/MDH2/PGK1/ALKBH7/FBP1/PARP9/GSTP1/CASP1/PKM/TPI1/ASAH1/NR1H2/ENO1/GAPDH/NAMPT/SLC2A3/XBP1/GLUL/ALDOA/P4HB",0.575610261071129
"GO:0006082","organic acid metabolic process",106,-0.41758600432665,-1.8947686438608,2.29103226338697e-05,0.00975565384726568,0.00555297816205592,460,"tags=35%, list=18%, signal=30%","LDHB/ST6GAL1/SDHB/ODC1/TXN2/NAAA/OAZ1/PTGES3/ZBTB7A/ATF4/GPI/SCPEP1/LYPLA1/LTA4H/ABHD14B/PARK7/IDH3B/ETFB/MDH2/PGK1/ALKBH7/FBP1/PARP9/GSTP1/CASP1/PKM/TPI1/ASAH1/NR1H2/ENO1/GAPDH/NAMPT/SLC2A3/XBP1/GLUL/ALDOA/P4HB",0.575610261071129
