"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.741900068781894,2.87219290101526,1e-10,5.08875e-08,3.6883779359017e-08,1861,"tags=84%, list=21%, signal=67%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A/RPLP0",NA
"GO:1901740","negative regulation of myoblast fusion",45,0.741900068781894,2.87219290101526,1e-10,5.08875e-08,3.6883779359017e-08,1861,"tags=84%, list=21%, signal=67%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A/RPLP0",NA
"GO:1901739","regulation of myoblast fusion",51,0.705496189441838,2.81868486581101,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=73%, list=20%, signal=59%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",53,0.692897842900025,2.78803201791972,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=70%, list=20%, signal=56%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0000768","syncytium formation by plasma membrane fusion",58,0.661424712512958,2.7249617337165,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=66%, list=20%, signal=53%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0006949","syncytium formation",58,0.661424712512958,2.7249617337165,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=66%, list=20%, signal=53%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0140253","cell-cell fusion",58,0.661424712512958,2.7249617337165,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=66%, list=20%, signal=53%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0007520","myoblast fusion",55,0.681596598858288,2.72482582467955,1e-10,5.08875e-08,3.6883779359017e-08,1734,"tags=69%, list=20%, signal=56%","RPL36/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RPL18A/RPL21/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/RPL7A",NA
"GO:0014902","myotube differentiation",73,0.582769282310299,2.46530559334125,2.46444349743903e-09,1.00327494780743e-06,7.27183921618444e-07,1734,"tags=59%, list=20%, signal=48%","RPL36/NACA/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/RPL36A/RBM38/RPL18A/RPL21/HDAC5/SKI/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/RPL7/RPL13/RPL35/MAML1/RPL7A",0.774939030136436
"GO:0006941","striated muscle contraction",94,0.5223604660348,2.328846586256,8.430296907362e-09,3.11997624635188e-06,2.2613906259065e-06,1510,"tags=50%, list=17%, signal=42%","TPM1/RPL36/GSTM2/RPL27/RPL17/AKAP9/RPL32/RPL10A/GNAS/RPL24/RPL11/RPL30/RPL4/RPL12/GAA/RPL34/RPL9/GSN/RPL36A/RPL18A/VPS54/RPL21/ARHGEF11/PRKACA/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/RPL18/RPL23/RPL29/RPL39/TNNI2/RPL41/RPL14/RPLP1/RPL15/PIK3CA/RPLP2/GRK2/RPL37/RPL31/RPL7/RPL13",0.747739663149885
"GO:0051146","striated muscle cell differentiation",109,0.476882556525161,2.20220933718853,7.05084365383189e-08,2.39199870956247e-05,1.73374507748574e-05,1734,"tags=43%, list=20%, signal=35%","TPM1/RPL36/NACA/RPL27/RPL17/RPL32/RPL10A/RPL24/RPL11/RPL30/RPL4/RPL12/RPL34/RPL9/YY1/RPL36A/RBM38/RPL18A/RPL21/HDAC5/SKI/OBSCN/RPL19/RPL5/RPL10/RPL38/UBA52/RPL28/RPL35A/CD81/RPL18/RPL23/RPL29/RPL39/RPL41/RPL14/RPLP1/RPL15/RPLP2/RPL37/RPL31/MTLN/RPL7/RPL13/RPL35/MAML1/RPL7A",0.704975715167238
