"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAMD1",2.91208373952301,2.12057628751332,0.433337545753519,4.89359001612912,9.90129951269387e-07,0.00675862704736483
"RGS1",7.83466264770229,-3.15029017340774,0.78920759921004,-3.99171292390119,6.55977532739466e-05,0.0746283773079932
"DUSP1",163.826728498314,-1.46164427745891,0.345753748407269,-4.22741411826205,2.36392356460421e-05,0.0746283773079932
"CDKN1A",13.4946569408301,-1.65076648384386,0.413537685947797,-3.99181632034438,6.55691522620914e-05,0.0746283773079932
"NAMPT",19.3733678968585,-1.40256764008974,0.341456469400703,-4.10760306445918,3.99786398498812e-05,0.0746283773079932
"HSPA8",103.296589491364,0.746006861584912,0.1830842475155,4.07466437833083,4.60807552113966e-05,0.0746283773079932
"TWF2",31.2905610188693,0.649830055069378,0.171363749638096,3.79210922054259,0.000149373188201008,0.145660197522869
"TPPP3",3.18041140469539,1.75029599222776,0.467009043384516,3.7478845795854,0.000178332278169732,0.152162016348324
"EREG",3.66960579993274,-2.95089808836072,0.824381681577809,-3.57952894187667,0.000344214126410053,0.234960562687502
"FAM89B",11.2221445983002,1.00541398000207,0.279252046808537,3.60038177514743,0.000317750283350128,0.234960562687502
"NFKBIZ",20.4796676520735,-1.50468749800284,0.437517696228147,-3.4391466013256,0.000583551130998193,0.323390333746789
"CCNL1",32.0897512158126,-0.917178171463218,0.264357120825659,-3.46946648760064,0.000521493121939968,0.323390333746789
"YBEY",3.07276257637831,1.52418193129934,0.445079275667902,3.42451786597364,0.000615891347598632,0.323390333746789
"CLEC12A",19.2700768041583,-1.15175362231686,0.341265187903773,-3.37495198203933,0.00073828571457364,0.359967020548548
"THBD",3.53775254445149,1.85291937796663,0.553383409358856,3.34834645677832,0.000812953136466803,0.36994787396816
"MIF",80.2060040211955,0.570705472564599,0.175957880339548,3.24342093382406,0.00118103585025905,0.491743024570012
"ODF3B",38.626206836291,-0.745699773644003,0.230647572008912,-3.233070121437,0.00122467498061679,0.491743024570012
"NR4A2",14.8157843095668,-1.7669452789873,0.550106191773903,-3.21200761854636,0.00131810879800635,0.499856147510632
"MBD2",13.0595271737183,0.999358334863819,0.317781760010025,3.14479451190745,0.00166203526584367,0.597108038139416
"HERC5",12.1920228065753,-1.5523231249997,0.499039408073826,-3.11062232738553,0.00186693550070789,0.637185086391603
"CD55",22.1397591747673,-0.778542947749371,0.251686972518972,-3.09329855239402,0.00197944889665473,0.643415150884056
"AREG",29.90104698176,-2.90117480376732,0.954609449066661,-3.03912223643277,0.00237268561969301,0.736179638182932
"THEM4",4.15626195213432,1.43917345918732,0.479252640101706,3.0029536381519,0.00267373159618153,0.756238681571003
"ATF3",6.24064706310194,-2.10234999533974,0.700277822896689,-3.00216560713489,0.00268066301246169,0.756238681571003
"SLC2A3",15.7464241804409,-2.02367092835603,0.676820081625628,-2.98996880159857,0.00279005942488806,0.756238681571003
"STAT3",17.6580086544074,-0.791569670337673,0.265608488252438,-2.98021224978832,0.00288048721371903,0.756238681571003
"TLR10",3.58610661420499,1.39527709084204,0.472038518875403,2.95585431071638,0.00311804336600556,0.788287556161258
"LYRM4",5.32707603433375,1.11615158083073,0.387246059898842,2.88228001886527,0.00394808703996205,0.841653120896019
"CPNE3",25.5951932934138,1.02844958127561,0.357146852191626,2.87962661567517,0.00398146390840375,0.841653120896019
"CD69",10.548153889874,-2.37387257680879,0.821301737678793,-2.89037812524049,0.00384778696372325,0.841653120896019
"AC004817.3",4.36651579036465,-2.01133634115591,0.700138940228812,-2.87276742598918,0.00406893539255327,0.841653120896019
"FOSB",32.8519523336447,-1.68574294079639,0.584544704864742,-2.88385631888745,0.00392837944696338,0.841653120896019
"NDUFV3",14.8211338064341,-0.759602854672709,0.263998826126681,-2.87729633429586,0.00401098734377146,0.841653120896019
"GK",6.66806892168878,-1.46002777751119,0.510312298604967,-2.86104760066032,0.0042224364992894,0.847716221886749
"AC064805.1",4.63942177913343,-1.75316420216747,0.618282176241212,-2.83554058249854,0.00457482023864124,0.892220655684718
"RSAD2",9.56489357503587,-1.33835873607343,0.485052986090419,-2.75920110679195,0.00579428649024314,0.987967167609529
"RNF149",17.1595212366385,-0.758722267112536,0.274005031299388,-2.76900852336368,0.00562271642676492,0.987967167609529
"SLC20A1",5.98103030322402,-1.18707045622117,0.431442842100131,-2.75139680251243,0.00593417138470418,0.987967167609529
"PFDN1",7.84270941053146,-0.972219820286114,0.348355479653803,-2.79088424632307,0.00525642670710415,0.987967167609529
"UTF1",3.59694183639329,1.27188528153381,0.4609173543167,2.75946494446788,0.00578960983415483,0.987967167609529
"ZFP36",163.39257383143,-1.11232202887588,0.400619976118046,-2.7765016603868,0.0054947354400957,0.987967167609529
"NOC2L",6.31887982346746,5.51801556732283e-05,0.378412482609155,0.000145820125416479,0.999883652373688,0.999883652373688
"ISG15",141.18868378375,-0.234805130149852,0.344469727212888,-0.681642279713998,0.495465173574769,0.999883652373688
