"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0051647","nucleus localization",22,0.637003122309892,2.0313323811753,0.000291702771798535,0.153104919813709,0.106389458665794,1341,"tags=41%, list=13%, signal=36%","LMNA/DCTN1/SYNE1/LMNB2/TACC3/CDK9/SUN2/TACC1/SIRT1",0.49849310876659
"GO:0007097","nuclear migration",19,0.64428524925392,1.96753646433257,0.000565345458614597,0.157203727192099,0.109237635580637,1143,"tags=37%, list=11%, signal=33%","LMNA/DCTN1/SYNE1/LMNB2/TACC3/SUN2/TACC1",0.477270815362862
"GO:0019319","hexose biosynthetic process",50,0.496482860729175,1.94831498851615,0.000203270426634179,0.153104919813709,0.106389458665794,1495,"tags=36%, list=15%, signal=31%","USP7/PGP/PER2/GOT1/ENO3/G6PC3/ENO2/SLC37A4/PGM1/DGKQ/FOXO1/SLC25A11/DDB1/SIRT1/SLC25A10/ALDOC/PRKACA/TPI1",0.518848077743792
"GO:0007008","outer mitochondrial membrane organization",14,0.687423347901061,1.93386610377331,0.00100500868697844,0.202245448384829,0.140536200910221,1285,"tags=43%, list=13%, signal=37%","NME3/TOMM5/TOMM7/MTX1/TOMM22/TOMM70",0.45505986738723
"GO:0006094","gluconeogenesis",48,0.504166985258118,1.90974605975034,0.000293450511451305,0.153104919813709,0.106389458665794,1495,"tags=38%, list=15%, signal=32%","USP7/PGP/PER2/GOT1/ENO3/G6PC3/ENO2/SLC37A4/PGM1/DGKQ/FOXO1/SLC25A11/DDB1/SIRT1/SLC25A10/ALDOC/PRKACA/TPI1",0.49849310876659
"GO:0003197","endocardial cushion development",13,-0.695131764347783,-1.90473505233062,0.00246927058866412,0.418720730941117,0.290960420809301,2948,"tags=85%, list=29%, signal=60%","TGFBR1/NOTCH1/TGFBR2/RBPJ/CRELD1/NOS3/BMPR1A/ENG/SMAD2/MDM4/APC",0.431707695803346
"GO:0046364","monosaccharide biosynthetic process",51,0.4892314053177,1.89171688831544,0.000258506351003927,0.153104919813709,0.106389458665794,1495,"tags=35%, list=15%, signal=30%","USP7/PGP/PER2/GOT1/ENO3/G6PC3/ENO2/SLC37A4/PGM1/DGKQ/FOXO1/SLC25A11/DDB1/SIRT1/SLC25A10/ALDOC/PRKACA/TPI1",0.49849310876659
"GO:2000379","positive regulation of reactive oxygen species metabolic process",39,0.513828052649138,1.87151511966421,0.00101825807146521,0.202245448384829,0.140536200910221,1989,"tags=49%, list=20%, signal=39%","PRKCD/CDKN1A/TGFB1/SLC5A3/APP/ROMO1/NFE2L2/TYROBP/CBR1/DCXR/SYK/DHRS4/AKR1C3/RNF41/GNAI2/GADD45A/FAS/SOD1/ZC3H12A",0.45505986738723
"GO:0051131","chaperone-mediated protein complex assembly",17,0.623050349139125,1.86784935089699,0.00346976519924377,0.418844699050568,0.291046563697932,2174,"tags=53%, list=22%, signal=42%","CCT2/DNLZ/CLU/HSP90AA1/HSP90AB1/HSPD1/PSMG1/LONP1/HSPA1A",0.431707695803346
"GO:0030150","protein import into mitochondrial matrix",23,0.55865894158163,1.8282298618307,0.00493172152545444,0.446514260132554,0.310273572396375,1725,"tags=48%, list=17%, signal=40%","DNLZ/TOMM7/TIMM44/ROMO1/TIMM21/HSP90AA1/TIMM17A/TOMM22/TOMM70/TIMM50/DNAJC15",0.407017918923954
"GO:0003203","endocardial cushion morphogenesis",11,-0.700284912596544,-1.81326455599157,0.00548677100766848,0.446514260132554,0.310273572396375,2948,"tags=91%, list=29%, signal=64%","TGFBR1/NOTCH1/TGFBR2/RBPJ/NOS3/BMPR1A/ENG/SMAD2/MDM4/APC",0.407017918923954
"GO:1902916","positive regulation of protein polyubiquitination",10,-0.731333204420079,-1.80982464251737,0.00361505853891644,0.418844699050568,0.291046563697932,1005,"tags=50%, list=10%, signal=45%","BIRC2/IP6K2/DDX3X/UBE2N/PTPN22",0.431707695803346
