"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-ATP8",41.6394066486564,-1.35105436297611,0.292616830965507,-4.61714508532617,3.89055276771205e-06,0.0250318165074593
"MBD2",5.15669466792849,1.43033354209692,0.384973781223388,3.71540507914991,0.000202878416010891,0.652659864307037
"JPX",6.53988749215184,-1.41159441851438,0.395338006385741,-3.5706013479945,0.000356162612353837,0.763850082628197
"AREG",4.35072140227207,-3.37141760524037,0.980702107924415,-3.4377591095177,0.000586549245037503,0.943464460642823
"NOC2L",4.37034569482394,0.244062764268233,0.403948087351567,0.604193389968495,0.545715075071131,0.999739166699754
"HES4",1.87880724199291,0.977711754109909,0.805868629676561,1.21323962505194,0.225038218410258,0.999739166699754
"ISG15",51.9348279344538,-0.233629331249969,0.455459410012872,-0.512953132845287,0.607984105108286,0.999739166699754
"TNFRSF18",3.87740286949399,-0.383552747618122,0.453925287404831,-0.844968893032947,0.398128207246013,0.999739166699754
"TNFRSF4",2.86143727209741,0.237226090836317,0.595042267487273,0.398670991622274,0.690135644925459,0.999739166699754
"SDF4",11.6565443847642,0.0707223681106501,0.324094010700236,0.218215597251697,0.827261133054011,0.999739166699754
"B3GALT6",3.84362516268069,-0.347973966870983,0.445534732272713,-0.781025454729277,0.434787523636881,0.999739166699754
"UBE2J2",6.3809200171322,0.22769161793127,0.33944507197073,0.670776030446844,0.502363219377088,0.999739166699754
"INTS11",6.79143131706533,0.219861941145801,0.326470937104911,0.673450271241597,0.500660875648875,0.999739166699754
"CPTP",2.39532059524621,-0.569264898890559,0.570776463115265,-0.997351740440634,0.318593807437645,0.999739166699754
"AURKAIP1",16.0585848214702,-0.0137527650962401,0.212624450752714,-0.0646810140957628,0.948427979719888,0.999739166699754
"CCNL2",4.95535118974842,0.471249975402963,0.395226546780652,1.19235405425462,0.233122447805296,0.999739166699754
"MRPL20-AS1",2.1567782600135,0.378227847817834,0.535440626533075,0.70638615950161,0.479948025612234,0.999739166699754
"MRPL20",15.6252489009578,0.0475565200751746,0.233235165383918,0.203899441994066,0.838432081143715,0.999739166699754
"SSU72",17.0441627203944,-0.0731343703468354,0.222518548563822,-0.328666400256782,0.7424078533545,0.999739166699754
"MIB2",6.34641716320949,0.0513001744706861,0.341095490925451,0.150398278005669,0.880450399771416,0.999739166699754
"MMP23B",3.85614275404229,0.284716737412549,0.415822020935163,0.684708175801357,0.493528088836697,0.999739166699754
"CDK11B",4.17857953943126,0.41792745161962,0.558109347887078,0.748827184496791,0.453961372640906,0.999739166699754
"SLC35E2B",2.90616994790857,-0.299056270001155,0.560849952880941,-0.533219747037475,0.59388147354856,0.999739166699754
"CDK11A",5.04301305555724,0.0908043730307632,0.377044126221523,0.240832217546371,0.809685158407722,0.999739166699754
"NADK",2.93808044674683,0.167423693317308,0.48320582975542,0.346485251227312,0.72897806640661,0.999739166699754
"GNB1",13.5329753328086,0.197753513407132,0.265729176036646,0.744191948948279,0.456760358061331,0.999739166699754
"FAAP20",12.2975446405677,-0.0480888978917229,0.245392488218506,-0.195967277730616,0.8446357779642,0.999739166699754
"SKI",1.67852747317459,0.386207965313021,0.541908101592598,0.71268165982019,0.47604276786345,0.999739166699754
"RER1",12.7020903199488,-0.0809049791130159,0.242439653225429,-0.333711824929017,0.738597025630312,0.999739166699754
"PANK4",1.69244857363507,-0.659720648192854,0.722156983508481,-0.913541879755437,0.360957618000318,0.999739166699754
"AL139246.5",3.29524701253524,-0.0295821077114058,0.544574132524876,-0.0543215440187191,0.9566789852482,0.999739166699754
"TNFRSF14",18.8568985933624,0.0857849358096249,0.218521021070687,0.39257063411705,0.69463663235971,0.999739166699754
"TPRG1L",4.04092060917067,1.03363161133907,0.459946022521115,2.24728894419695,0.0246215669836618,0.999739166699754
"WRAP73",2.25918069783108,0.615180215574503,0.520475758379139,1.18195747961498,0.237222572857204,0.999739166699754
"LRRC47",4.79296837090659,0.417957453385104,0.379051070995649,1.10264153135687,0.270182867011311,0.999739166699754
"C1orf174",3.50865957213108,-0.0702926737982405,0.405858158777879,-0.173195172446221,0.862498018130347,0.999739166699754
"KCNAB2",9.75394594479211,-0.0717713130465525,0.277817782969414,-0.258339521248191,0.796144887611008,0.999739166699754
"RPL22",148.169630069509,0.341488096195396,0.181883464255658,1.87751040256961,0.0604481729424609,0.999739166699754
"ACOT7",1.75330304319211,0.152005605127523,0.620992125219886,0.244778635596546,0.806627837097227,0.999739166699754
"TNFRSF25",5.05559643212172,0.362059880184218,0.378352123992437,0.956938939218046,0.338598075602119,0.999739166699754
"THAP3",2.44919224360332,-0.428048638712807,0.638527776286741,-0.670368078898709,0.502623178296447,0.999739166699754
"DNAJC11",1.13232668656006,0.457894731317799,0.808028132747527,0.566681669561214,0.57093047685805,0.999739166699754
"CAMTA1",3.76551790972691,0.697417139917994,0.410957417986042,1.69705451074661,0.0896863552583011,0.999739166699754
"VAMP3",2.33810704978937,-0.171669090450108,0.525616685352576,-0.326605100701769,0.743966585140079,0.999739166699754
"UTS2",2.93398401558517,-0.191466089987146,0.713226604400415,-0.268450572098478,0.788352516618666,0.999739166699754
"PARK7",25.6709366806269,0.0794714472391039,0.176572192448516,0.450079064755769,0.652653431637599,0.999739166699754
"RERE",3.60948866507543,-0.00104645751910355,0.45506480298348,-0.00229957911981503,0.998165202941042,0.999739166699754
"ENO1",37.3369996297342,-0.00978695987892771,0.164524187828204,-0.0594864500358284,0.952564657669946,0.999739166699754
"SLC25A33",1.46728456541015,0.0585203545499771,0.687240758603657,0.0851526249241669,0.932140053553707,0.999739166699754
"PIK3CD",9.22929791415787,-0.126309839820548,0.347078794067777,-0.36392266534118,0.715915759010927,0.999739166699754
"CLSTN1",4.06581393154007,-0.18492307241816,0.468469076588274,-0.394739122942548,0.693035426622387,0.999739166699754
"CTNNBIP1",3.36086732291495,-0.846157970388553,0.585061501648825,-1.44627183296782,0.148100972821066,0.999739166699754
"LZIC",3.4494030599663,0.119907627948534,0.434809765460181,0.275770319513477,0.782724481641493,0.999739166699754
"PGD",4.31962308462429,-0.546176716074297,0.424142260389519,-1.28772057651766,0.197843248207718,0.999739166699754
"DFFA",4.28682518237591,0.284975432476857,0.514536063801875,0.553849287785956,0.579681993702849,0.999739166699754
"TARDBP",5.10404819879244,0.186613437782533,0.39583794189822,0.471438985579901,0.637327281316427,0.999739166699754
"SRM",9.3052579213881,-0.168559072605934,0.288628905653051,-0.583999278327833,0.55922079757392,0.999739166699754
"EXOSC10",4.25408265182047,0.101838116890643,0.450526966189043,0.226042222848678,0.821168580981354,0.999739166699754
"MTOR",2.29449173261601,0.0213481019290513,0.525613214826467,0.0406156111126306,0.967602338557968,0.999739166699754
"UBIAD1",3.92411839730211,-0.246751309038276,0.466302071003404,-0.529166230180595,0.59669014063507,0.999739166699754
"FBXO44",4.13993807554156,-0.111775079442436,0.424711215067529,-0.263179015474465,0.792412604067477,0.999739166699754
"FBXO6",8.35859255687275,-0.12824685308894,0.313025821966104,-0.409700555319768,0.682025622661345,0.999739166699754
"MAD2L2",5.37657072683307,-0.0472507672542153,0.321484837299727,-0.146976658840561,0.883150443767768,0.999739166699754
"AGTRAP",11.0299253783867,0.110385962434474,0.281152116260381,0.392620065972553,0.694600116811164,0.999739166699754
"KIAA2013",4.84529700813846,0.305547459101462,0.343055034069871,0.890666012028936,0.373108373710912,0.999739166699754
"PLOD1",2.25293175381218,0.367654788210515,0.524697387102903,0.700698721296303,0.48349105423021,0.999739166699754
"MIIP",3.13292768698907,0.0721905729127588,0.437736070708475,0.164918035646271,0.869008496384889,0.999739166699754
"TNFRSF1B",12.416184628185,0.11180925096998,0.31875413729984,0.350769567783853,0.725761229715004,0.999739166699754
"VPS13D",2.51407547911382,-0.218135372480506,0.511913786065479,-0.426117401832589,0.670022300530297,0.999739166699754
"DHRS3",3.3163362228305,-0.133566115604488,0.514486671966543,-0.259610448398892,0.795164275954554,0.999739166699754
"PRDM2",5.78412062257562,-0.0617237055102808,0.341337774476435,-0.180828815694239,0.856501944298768,0.999739166699754
"EFHD2",66.5732076351176,0.0290765103636197,0.137886112731776,0.210873377946197,0.832986078330005,0.999739166699754
"PLEKHM2",1.73574618933932,0.303080209041683,0.632702856298846,0.479024562674849,0.631921154720038,0.999739166699754
"SPEN",6.55801202186195,-0.235538612574188,0.360775799740603,-0.652866995911422,0.513842027775583,0.999739166699754
"FBXO42",2.09605948663038,-0.384390018606293,0.54749460978161,-0.702089137936212,0.482623575835451,0.999739166699754
"SZRD1",7.14022139816501,0.23335765857019,0.333841305491905,0.699007746289346,0.484547189846877,0.999739166699754
"NECAP2",8.94648139021214,-0.502602408406216,0.310128057489088,-1.62062862830107,0.105097308656353,0.999739166699754
"ATP13A2",2.22257971784737,0.282695316200125,0.55389943056401,0.510373003836219,0.609790166226249,0.999739166699754
"SDHB",6.50117733239408,-0.130871918074781,0.336479818446579,-0.388944331576779,0.6973173271824,0.999739166699754
"RCC2",3.16487728682419,-0.50915916158001,0.526662978234688,-0.966764672327361,0.333661688687274,0.999739166699754
"UBR4",5.43882014965016,0.338163545596837,0.365196526531635,0.925976894710535,0.354457987887442,0.999739166699754
"MRTO4",2.42516999674293,0.212047531145728,0.495720220876757,0.42775646870061,0.668828432979947,0.999739166699754
"AKR7A2",5.6183577964686,-0.168617271985918,0.363553418722523,-0.463803290802259,0.642788685419192,0.999739166699754
"CAPZB",41.6844589697328,0.0388603848042165,0.14752479028509,0.263415963711043,0.792229987705927,0.999739166699754
"MICOS10",18.8228839745477,0.0125804788471268,0.217980252111852,0.057713846668419,0.953976564035056,0.999739166699754
"MUL1",1.87739377889557,-0.0693397073416633,0.640051257121283,-0.108334616282964,0.91373026437159,0.999739166699754
"DDOST",19.549057006374,-0.264969090354187,0.245146234804857,-1.08086135022677,0.279758793293726,0.999739166699754
"HP1BP3",17.7750932285255,0.317544429005207,0.253593234262513,1.25218020870578,0.210504205960708,0.999739166699754
"EIF4G3",4.56536045463122,-0.187126684754911,0.431661933522545,-0.433502864679026,0.664649485383547,0.999739166699754
"ECE1",2.17925757130094,0.327078464975185,0.555222678100719,0.589094210081693,0.555798077192133,0.999739166699754
"USP48",3.71222634355391,0.135519624329873,0.447203847380464,0.303037697738271,0.7618611328428,0.999739166699754
"LINC00339",2.32735129245639,-1.5026529759976,0.655114661605532,-2.29372515082315,0.0218062911342842,0.999739166699754
"CDC42",32.6054427449821,0.0142592610384316,0.18677397497551,0.0763450102740559,0.939144617289566,0.999739166699754
"ZBTB40",1.1769656758665,0.0374992659101405,0.741558918271842,0.0505681544462176,0.959669639415704,0.999739166699754
