"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LEF1",16.7452149847922,-2.71945352624941,0.599584235000891,-4.53556542600786,5.74493650304361e-06,0.0266279101429991
"TRBV28",170.774533625807,-7.40193927457688,1.65083575432014,-4.48375270235482,7.33416548191309e-06,0.0266279101429991
"MAZ",59.664054674135,0.784666925733121,0.172320223491209,4.55353939216049,5.2750788318491e-06,0.0266279101429991
"TRGV5",105.308596955749,-4.13408604790533,0.984994078314518,-4.19706690519339,2.70394072933154e-05,0.0736283060596978
"LFNG",33.5850221857027,0.990361640074695,0.245702750936549,4.03073077651641,5.56037044216098e-05,0.0865193640800248
"ARHGEF10",5.43224490889615,-5.01918121214626,1.2411694196576,-4.04391304897836,5.25664209514288e-05,0.0865193640800248
"CTDNEP1",56.1443537055146,0.978674353414276,0.242541406343005,4.03508154822119,5.45833366312714e-05,0.0865193640800248
"CD8B",113.766534592333,-3.66731419811893,0.980580505660363,-3.73994198023467,0.000184062735915993,0.225609669571624
"CYHR1",14.4793035088092,1.06194373429684,0.288105461367069,3.68595489046921,0.00022784670999705,0.225609669571624
"TESK1",8.31310159914796,1.13645974439153,0.30803641993641,3.68936810986877,0.000224811737618531,0.225609669571624
"MRPS6",81.6504273211512,0.455475831393631,0.123336254738018,3.69295980619096,0.000221659067867899,0.225609669571624
"CLSTN3",19.1651129094897,1.46649713331896,0.400586597917989,3.66087418036685,0.000251356177597855,0.22814762386632
"UBE2M",29.0955069997371,0.815046234706862,0.230412875840857,3.53732937767681,0.000404195249688306,0.338653435354233
"KIAA2013",28.0755948411033,0.714917166176101,0.21039985193734,3.39789766767048,0.000679058157061712,0.406767181372586
"CAMK4",9.9796750553629,-2.20449987571654,0.648681802037591,-3.39843027628019,0.00067773735863759,0.406767181372586
"NEAT1",125.650228199054,-0.6776985673231,0.200155719890496,-3.38585661051238,0.000709564491927942,0.406767181372586
"GRK2",82.6462193493569,0.542556127327768,0.157719629930291,3.44000380654943,0.000581706005040666,0.406767181372586
"TRAV14DV4",51.5447966053645,-7.129023446251,2.09084554316154,-3.40963657959703,0.000650494975842504,0.406767181372586
"TRAV38-2DV8",10.4268215919943,-5.15293019244905,1.50190898053015,-3.43092042144267,0.000601537037894655,0.406767181372586
"TRAV22",4.26949872422968,-4.19356290743935,1.25636091999343,-3.33786481313131,0.000844248137389735,0.45977753562245
"PTPN22",56.248862651893,-0.63257765313375,0.195631770224315,-3.23351188004089,0.00122278250283838,0.551534872265639
"RUNX2",4.3216689098894,-3.25803680514751,1.01068388340796,-3.22359627835524,0.0012659173527948,0.551534872265639
"GOLM1",17.5441024657847,0.884887859923866,0.270816277261427,3.26748402596811,0.00108507989675953,0.551534872265639
"CD6",39.4943972993678,0.779409009339774,0.240491672563007,3.2408981193957,0.00119153760504543,0.551534872265639
"MBD2",26.5168292217418,0.965736335142736,0.298233285102038,3.23819098465926,0.00120290254479679,0.551534872265639
"TRDV2",107.917525576633,3.54523131684289,1.10667649519738,3.20349382337842,0.00135770952385556,0.568775851301338
"ALOX5AP",171.789491313642,0.827691876082902,0.261814914353428,3.16136259130596,0.00157032888723936,0.63331101328347
"CENPB",13.5822481481924,1.01992231398116,0.323699139157215,3.15083418706839,0.0016280488773354,0.63331101328347
"ITGA4",158.004360554602,-0.486622571971568,0.155685000771612,-3.1256869291181,0.0017739028978801,0.64512370502031
"TMEM8A",19.8581692643801,0.919497404634587,0.294220836308053,3.12519472166771,0.00177687395800673,0.64512370502031
"PRKACB",70.6720484103708,-0.489655197706526,0.157354708216747,-3.11179247990505,0.00185955166855198,0.653362476576394
"CD8A",173.994598594912,-2.60750664624289,0.848829107241855,-3.07188646571699,0.00212710613225802,0.724013749767325
"TRAV41",52.6598462765504,-7.5204196260616,2.47634419116114,-3.03690401879689,0.00239021551520642,0.788915981564494
"MCOLN2",15.2742479187825,-1.041693755676,0.347014552273308,-3.00187340516939,0.00268323735285681,0.859582977862246
"STK17B",64.225605261608,-0.485287780541501,0.1632092128425,-2.97340923401065,0.00294511497114585,0.916519779020588
"FAM89B",33.9432659759423,0.733328505041977,0.248184741639725,2.95476869446917,0.0031290354905182,0.924631101409117
"FOS",58.7011256962529,-2.51143863546268,0.852280119052025,-2.94672910856598,0.00321154410610472,0.924631101409117
"ZFPM1",28.4005750420274,0.854832500912023,0.290367005685912,2.94397257323612,0.00324028713153806,0.924631101409117
"AC127521.1",4.46012288512862,-2.17188316040907,0.74064068749198,-2.93243835653114,0.00336311679480429,0.924631101409117
"CAPN12",12.092074486333,-0.994715048998612,0.339557030768062,-2.92944913185456,0.00339563386488842,0.924631101409117
