"celltype","total_sig_GSEA","HL_pathways","HS_pathways"
"CD1C_DC",124,18,106
"Mast_cells",98,30,68
"CD14_CD163_macrophage",78,24,54
"IFN_activated_DC",61,32,29
"Naive_B",56,53,3
"B_cells",52,2,50
"Memory_atypical_B",50,49,1
"T_cells_unresolved",37,15,22
"Naive_T_TCF7_",33,32,1
"Cytotoxic_gamma_delta_T",29,28,1
"NK",29,26,3
"GZMK_gamma_delta_T",27,2,25
"Cytotoxic_NK_gamma_delta_T",26,26,0
"Plasma_cells",26,24,2
"Naive_CD8_T",25,21,4
"SIGLEC1_macrophage_monocyte",20,0,20
"Treg",18,18,0
"pDC",18,13,5
"Activated_CD4_T",12,12,0
"Neutrophils",7,1,6
"Platelets",5,5,0
"Cycling_cells",1,0,1
