"celltype","direction","immune_GSEA","strongest_NES","best_FDR"
"Mast_cells","HL",3,2.80516646766955,1.95222222222222e-08
"IFN_activated_DC","HL",3,3.01877656405306,2.36125e-08
"Cytotoxic_NK_gamma_delta_T","HL",3,2.9802598383081,2.47714285714286e-08
"Cytotoxic_gamma_delta_T","HL",3,2.93296123507694,4.71444444444444e-08
"CD14_CD163_macrophage","HL",3,2.87219290101526,5.08875e-08
"T_cells_unresolved","HL",3,2.75034603685906,1.929e-07
"NK","HL",3,2.76801680483925,2.1245e-07
"Naive_CD8_T","HL",3,2.60950706512332,2.11940963065788e-06
"Plasma_cells","HL",11,2.58521494352469,3.1895218981946e-06
"Treg","HL",3,2.4440062294998,9.2481728225314e-05
"Naive_T_TCF7_","HL",3,2.27234567704539,0.00098050911236943
"Memory_atypical_B","HL",24,2.10349872636162,0.00221809094850302
"CD1C_DC","HL",3,2.1024956966755,0.00483737808122741
"Activated_CD4_T","HL",2,2.05366964860485,0.00529842513656347
"pDC","HL",3,2.11448707885667,0.0102315957097184
"B_cells","HL",1,2.00271423294121,0.022802286872445
"Naive_B","HL",5,1.88054666849177,0.0255988503915789
"Platelets","HL",2,2.13956954343934,0.0306972708929481
"CD1C_DC","HS",56,-2.2382223265854,3.699e-07
"CD14_CD163_macrophage","HS",22,-2.14970378436593,3.64065085017354e-05
"IFN_activated_DC","HS",19,-2.22099550560032,0.000237344840315813
"Cytotoxic_gamma_delta_T","HS",1,-1.67253428487722,0.00113430133062788
"Cycling_cells","HS",1,-1.74831889495808,0.00134996196056899
"T_cells_unresolved","HS",3,-2.1047055719955,0.00198840168700241
"B_cells","HS",18,-1.95738358293523,0.00382437675261742
"Naive_CD8_T","HS",3,-1.80849596799848,0.00691098873223527
"Mast_cells","HS",7,-1.85565977377592,0.00905902737297861
"GZMK_gamma_delta_T","HS",10,-2.15229315590914,0.0128367765301872
"Neutrophils","HS",3,-2.08030847953328,0.0148425034245419
"NK","HS",2,-1.95056550232514,0.0172028335295727
"SIGLEC1_macrophage_monocyte","HS",3,-2.05101968972897,0.0323294440407103
