"celltype","direction","significant_pathways","max_abs_NES","min_padj"
"Activated_CD4_T","HL",12,2.42761889308033,0.00095451646457458
"B_cells","HL",2,2.00271423294121,0.022802286872445
"B_cells","HS",50,1.97950325593565,0.00382437675261742
"CD14_CD163_macrophage","HL",24,2.87219290101526,5.08875e-08
"CD14_CD163_macrophage","HS",54,2.14970378436593,3.64065085017354e-05
"CD1C_DC","HL",18,2.1024956966755,0.00436351789509372
"CD1C_DC","HS",106,2.2382223265854,3.699e-07
"Cycling_cells","HS",1,1.74831889495808,0.00134996196056899
"Cytotoxic_NK_gamma_delta_T","HL",26,2.9802598383081,2.47714285714286e-08
"Cytotoxic_gamma_delta_T","HL",28,2.93296123507694,4.71444444444444e-08
"Cytotoxic_gamma_delta_T","HS",1,1.67253428487722,0.00113430133062788
"GZMK_gamma_delta_T","HL",2,1.67987850190528,0.0357735559586549
"GZMK_gamma_delta_T","HS",25,2.15229315590914,0.0120231499195449
"IFN_activated_DC","HL",32,3.01877656405306,2.36125e-08
"IFN_activated_DC","HS",29,2.22099550560032,0.000237344840315813
"Mast_cells","HL",30,2.80516646766955,1.95222222222222e-08
"Mast_cells","HS",68,2.13978342051316,0.00224627915044494
"Memory_atypical_B","HL",49,2.13107998203378,0.00221809094850302
"Memory_atypical_B","HS",1,2.03683990920012,0.0307815323595692
"NK","HL",26,2.76801680483925,2.1245e-07
"NK","HS",3,1.95056550232514,0.0172028335295727
"Naive_B","HL",53,2.24112549419994,0.00555807107433416
"Naive_B","HS",3,1.9002499588718,0.0359879292427181
"Naive_CD8_T","HL",21,2.60950706512332,2.11940963065788e-06
"Naive_CD8_T","HS",4,1.83145291176787,0.00691098873223527
"Naive_T_TCF7_","HL",32,2.27234567704539,0.000401797097616852
"Naive_T_TCF7_","HS",1,1.98579924584307,0.0264116519987133
"Neutrophils","HL",1,2.00406589311655,0.00489887869222414
"Neutrophils","HS",6,2.20780160791332,0.00454701789251479
"Plasma_cells","HL",24,2.58521494352469,3.1895218981946e-06
"Plasma_cells","HS",2,1.91118701389997,0.0199514118157325
"Platelets","HL",5,2.1476533684757,0.0306972708929481
"SIGLEC1_macrophage_monocyte","HS",20,2.05824801319264,0.000809625239148658
"T_cells_unresolved","HL",15,2.75034603685906,1.929e-07
"T_cells_unresolved","HS",22,2.22438882122223,0.000684558270776796
"Treg","HL",18,2.4440062294998,9.2481728225314e-05
"pDC","HL",13,2.13096523652183,0.0102315957097184
"pDC","HS",5,2.12256597456995,0.0102315957097184
