"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0071346","cellular response to type II interferon",43,-0.586162758123244,-2.15229315590914,6.25269192897572e-06,0.0128367765301872,0.00768249842445679,728,"tags=26%, list=7%, signal=24%","CALM1/CCL5/NLRC5/PIM1/IL12RB1/JAK2/GBP5/TNF/IFNG/IFNGR1/HLA-DPA1",0.610526878385931
"GO:0046637","regulation of alpha-beta T cell differentiation",44,-0.565048525521189,-2.08240645149889,2.10942630653265e-05,0.025195346554957,0.0150788018905614,1627,"tags=52%, list=16%, signal=44%","ZBTB16/EP300/OPA1/SOCS1/AP3B1/HMGB1/MALT1/RUNX3/BRD2/ZNF683/HLA-DRB1/LGALS1/TBX21/CBFB/NFKBIZ/ZBTB7B/SLC4A2/JUNB/IL12RB1/PNP/ANXA1/PRDM1/CD69",0.575610261071129
"GO:0089718","amino acid import across plasma membrane",16,-0.723837311777491,-2.0755063514589,9.29131609365516e-05,0.0357735559586549,0.0214096028425273,482,"tags=44%, list=5%, signal=42%","SLC3A2/ARL6IP5/TNF/ITGB1/SLC7A1/SLC38A5/SLC1A5",0.538434096309916
"GO:0009311","oligosaccharide metabolic process",22,-0.652599287324476,-2.02243564422991,0.000125224244074025,0.0357735559586549,0.0214096028425273,626,"tags=41%, list=6%, signal=38%","MAN2B2/ST6GALNAC6/GLA/MGAT2/MPDU1/FUT7/FUT8/ST6GALNAC4/B4GALT1",0.518848077743792
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation",36,-0.568087464353917,-2.00447623523662,0.000168528529533937,0.0364199022245446,0.0217964253565498,1550,"tags=50%, list=16%, signal=42%","EP300/OPA1/SOCS1/AP3B1/HMGB1/MALT1/RUNX3/BRD2/HLA-DRB1/LGALS1/TBX21/CBFB/NFKBIZ/ZBTB7B/JUNB/IL12RB1/ANXA1/CD69",0.518848077743792
"GO:1902475","L-alpha-amino acid transmembrane transport",29,-0.599201067491747,-1.99231275828982,0.000144643130563661,0.0357735559586549,0.0214096028425273,482,"tags=31%, list=5%, signal=30%","SLC3A2/ARL6IP5/SLC38A9/TNF/TTYH2/ITGB1/SLC7A1/SLC38A5/SLC1A5",0.518848077743792
"GO:0002709","regulation of T cell mediated immunity",55,-0.51576608916546,-1.98171129133414,8.07354683938935e-05,0.0357735559586549,0.0214096028425273,1781,"tags=42%, list=18%, signal=34%","RIPK3/TNFRSF1B/IL18R1/CCR2/MR1/HMGB1/CD274/CD55/MALT1/KLRD1/HLA-C/BTLA/HLA-DRB1/TBX21/SLAMF1/HLA-A/TRAF2/TRAF6/IL12RB1/MAPK3/DENND1B/FUT7/AHR",0.538434096309916
"GO:0071805","potassium ion transmembrane transport",48,-0.520136560323583,-1.92625440895858,0.000105878571841889,0.0357735559586549,0.0214096028425273,1790,"tags=42%, list=18%, signal=34%","ANO6/SLC12A2/ANK3/KCNA3/CAB39/FXYD5/GHITM/LETM1/WWP2/SLC9A8/CD63/P2RX7/SLC9A9/FLNA/KCNK12/ATP1B3/FHL1/OXSR1/SLC9A6/FXYD7",0.538434096309916
"GO:0006813","potassium ion transport",52,-0.495899098769112,-1.87876075899894,0.000205858665451243,0.0380804358224229,0.0227902143127926,1790,"tags=40%, list=18%, signal=33%","ANO6/SLC12A2/ANK3/KCNA3/CAB39/FXYD5/GHITM/LETM1/WWP2/SLC9A8/CHP1/CD63/P2RX7/SLC9A9/FLNA/KCNK12/ATP1B3/FHL1/OXSR1/SLC9A6/FXYD7",0.518848077743792
"GO:0046634","regulation of alpha-beta T cell activation",66,-0.470989049542954,-1.84573629668066,0.000207970036378948,0.0380804358224229,0.0227902143127926,1627,"tags=44%, list=16%, signal=37%","ZBTB16/CCR2/EP300/OPA1/SOCS1/AP3B1/HMGB1/CD274/CD55/MALT1/RUNX3/VSIR/BRD2/ZNF683/HLA-DRB1/LGALS1/TBX21/HLA-A/CBFB/NFKBIZ/ZBTB7B/SLC4A2/JUNB/IL12RB1/JAK2/PNP/ANXA1/PRDM1/CD69",0.518848077743792
