"celltype","Description","NES","p.adjust","setSize","core_enrichment"
"Mast_cells","negative regulation of myoblast fusion",2.79649299402659,1.95222222222222e-08,45,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","myoblast fusion",2.72768072954195,1.95222222222222e-08,48,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"Mast_cells","regulation of myoblast fusion",2.69446737092742,1.95222222222222e-08,47,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/RPL15/RPL6"
"Mast_cells","myotube differentiation",2.67014695439222,2.28755396308708e-08,51,"RPL17/RPL12/RPL34/RPL36/RPL4/RPL36A/RPL39/RPL32/RPL14/RPL10/RPL18/RPLP2/RPL31/RPL24/RPL9/RPL13A/RPL35A/RPL27/RPL28/RPL21/RPL10A/RPL37/RPL41/RPL11/RPL5/UBA52/RPL19/NACA/RPL30/RPL7/RPL35/RPL29/RPL18A/RPL37A/CD81/RPL15/RPL6"
"IFN_activated_DC","negative regulation of myoblast fusion",3.01877656405306,2.36125e-08,45,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","regulation of myoblast fusion",2.99647333072854,2.36125e-08,51,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","myoblast fusion",2.96295586738433,2.36125e-08,54,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","myotube differentiation",2.85089459727196,2.36125e-08,68,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/CD81/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/RPL8/RPL35/RPL13/PLEKHO1/RPL15/UBA52/RPL14/RPL41"
"IFN_activated_DC","striated muscle contraction",2.74876320011779,2.36125e-08,82,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/RPL36A/RPL34/AKAP9/RPL29/RPL24/RPL17/RPL19/GRK2/RPL12/GNAS/RPL21/RPL10A/RPL7A/EEF2/RPLP2/PRKACA/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/RANGRF/RPL8/RPL35/RPL13/RPL15/GSTM2/KCNQ1/UBA52/RPL14/RPL41/CHRNB1/C12orf57/GSTO1/RPL38/CALM3"
"IFN_activated_DC","striated muscle cell differentiation",2.69657363650543,2.36125e-08,97,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/CD81/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/MTLN/FLII/KDM6B/RPL8/RPL35/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/RPL14/RPL41/WDR1/TOMM70/NOTCH1/RPL38"
"IFN_activated_DC","muscle cell differentiation",2.5635511957469,2.36125e-08,134,"RPL11/RPL30/RPL5/RPL32/RPL18/RPL10/RPL9/RPL7/RPL6/OLFM2/RPL4/RPL18A/NACA/RPL36A/RPL34/RPL29/RPL24/RPL17/RPL19/RPL12/YY1/SRF/CD81/TMEM204/OBSCN/RPL21/RPL10A/RPL7A/RPLP2/ACTN1/RPL35A/RPL28/RPL39/RPL31/RPL36/RPLP0/RPL23/BIN1/MTLN/FLII/CDK9/KDM6B/RPL8/RPL35/KDM1A/RPL13/PLEKHO1/CSRP1/RPL15/CASP7/UBA52/QKI/RPL14/RPL41/CHRNB1/WDR1/TOMM70/NOTCH1/RPL38"
