"celltype","ID","Description","NES","pvalue","p.adjust","qvalue","setSize","core_enrichment"
"CD1C_DC","GO:0034097","response to cytokine",-1.93289903866726,1e-10,3.699e-07,2.60434012680636e-07,412,"STAT5A/ANXA4/KLF2/SMIM30/MX1/CD4/BCL2L1/NUB1/JAK1/NR1H2/CCL5/HIPK1/HLA-DPA1/SETD2/CD40/AZI2/GPS2/IRAK3/OTUD4/CCR7/XAF1/PSMB3/MAPK1/TTLL12/DICER1/IFNGR1/MAP2K5/IL27RA/RRAGA/IL18/TRAF3IP3/CASP4/SP100/ADAR/RELA/MNDA/IL10RA/CD47/CTR9/CPNE1/CSF3R/CSF2RA/SORL1/TNFRSF14/ETV3/SPPL2A/IFITM3/ZFAND6/ZFP36L1/ADIPOR2/NFKB2/GCH1/CREB1/PSMD13/KYNU/OASL/IL15/IFIT2/BCL2/MTHFR/RELB/OAS1/CASP1/PIM1/PNPT1/RC3H1/CD300LF/JAK2/OSM/KHSRP/NFE2L2/ZFP36L2/CCL3/CXCL8/PSMD1/MX2/GBP4/PSMA4/ST3GAL6/GBP1/SKIL/HIF1A/NLRC5/PTPN2/PML/IFI16/TUBA1A/IFIT5/PSMD2/PTPRC/CCL3L1/LILRA4/FOXO3/OAS2/DOCK8/ADAM10/OAS3/UGCG/JAK3/CARD16/IL1B/RO60/CIITA/CEBPB/IL4R/YTHDC2/LAPTM5/TNFRSF1A/IFI27/IFITM1/PLSCR1/GPR35/CCR1/MCL1/NFKBIA/ZBP1/VRK2/IRF1/TNFSF13B/IL1RN/WBP1L/PARP9/RIPOR2/MEFV/KLF4/OXSR1/IFIT3/TNFAIP3/TOLLIP/EGR1/CXCR4/NAIP/GBP5/EIF2AK2/FOS/ZFP36/STAT3/NFKBIZ/EREG/DUSP1"
"CD1C_DC","GO:1901652","response to peptide",-1.88580092150296,4.19108299213957e-10,7.75140799396214e-07,5.45750280560239e-07,417,"STAT5A/ANXA4/KLF2/SMIM30/MX1/CD4/BCL2L1/NUB1/JAK1/NR1H2/CCL5/HIPK1/HLA-DPA1/SETD2/CD40/AZI2/GPS2/IRAK3/OTUD4/CCR7/XAF1/PSMB3/MAPK1/TTLL12/DICER1/IFNGR1/MAP2K5/IL27RA/RRAGA/IL18/TRAF3IP3/CASP4/SP100/ADAR/RELA/MNDA/IL10RA/CD47/CTR9/CPNE1/CSF3R/CSF2RA/SORL1/TNFRSF14/ETV3/SPPL2A/IFITM3/ZFAND6/ZFP36L1/ADIPOR2/NFKB2/GCH1/CREB1/PSMD13/KYNU/OASL/IL15/IFIT2/BCL2/MTHFR/RELB/OAS1/CASP1/PIM1/PNPT1/RC3H1/CD300LF/JAK2/OSM/KHSRP/NFE2L2/ZFP36L2/CCL3/CXCL8/PSMD1/MX2/GBP4/PSMA4/ST3GAL6/GBP1/SKIL/HIF1A/NLRC5/PTPN2/PML/IFI16/TUBA1A/IFIT5/PSMD2/PTPRC/CCL3L1/LILRA4/FOXO3/OAS2/DOCK8/ADAM10/OAS3/UGCG/JAK3/CARD16/IL1B/RO60/CIITA/CEBPB/IL4R/YTHDC2/LAPTM5/TNFRSF1A/IFI27/IFITM1/PLSCR1/GPR35/CCR1/MCL1/NFKBIA/ZBP1/VRK2/IRF1/TNFSF13B/IL1RN/WBP1L/PARP9/RIPOR2/MEFV/KLF4/OXSR1/IFIT3/TNFAIP3/TOLLIP/EGR1/CXCR4/NAIP/GBP5/EIF2AK2/FOS/ZFP36/STAT3/NFKBIZ/EREG/DUSP1"
"CD1C_DC","GO:0019221","cytokine-mediated signaling pathway",-1.93705643689298,1.74576305377088e-08,1.61439438397462e-05,1.13664019320788e-05,233,"ISG15/YTHDF3/YTHDF2/IL6R/IRF3/AXL/PTPN1/CCR5/RBM47/SOCS3/IRAK4/STAT5A/ANXA4/SMIM30/MX1/CD4/JAK1/NR1H2/CCL5/HIPK1/CD40/AZI2/GPS2/IRAK3/OTUD4/CCR7/MAPK1/TTLL12/DICER1/IFNGR1/IL27RA/RRAGA/IL18/CASP4/SP100/RELA/IL10RA/CTR9/CPNE1/CSF3R/CSF2RA/SORL1/TNFRSF14/SPPL2A/IFITM3/ADIPOR2/OASL/IL15/OAS1/CASP1/CD300LF/JAK2/OSM/CCL3/HIF1A/NLRC5/PTPN2/PTPRC/CCL3L1/LILRA4/FOXO3/OAS2/ADAM10/OAS3/UGCG/JAK3/CARD16/IL1B/CIITA/IL4R/LAPTM5/TNFRSF1A/IFI27/IFITM1/GPR35/CCR1/NFKBIA/ZBP1/VRK2/IRF1/TNFSF13B/IL1RN/WBP1L/PARP9/OXSR1/TNFAIP3/TOLLIP/EGR1/CXCR4/NAIP/STAT3/NFKBIZ/EREG"
"CD1C_DC","GO:0071345","cellular response to cytokine stimulus",-1.86186175078038,1.49670653657309e-08,1.61439438397462e-05,1.13664019320788e-05,357,"AZI2/GPS2/IRAK3/OTUD4/CCR7/PSMB3/MAPK1/TTLL12/DICER1/IFNGR1/IL27RA/RRAGA/IL18/TRAF3IP3/CASP4/SP100/RELA/MNDA/IL10RA/CD47/CTR9/CPNE1/CSF3R/CSF2RA/SORL1/TNFRSF14/ETV3/SPPL2A/IFITM3/ZFAND6/ZFP36L1/ADIPOR2/PSMD13/OASL/IL15/IFIT2/OAS1/CASP1/PIM1/PNPT1/RC3H1/CD300LF/JAK2/OSM/KHSRP/NFE2L2/ZFP36L2/CCL3/CXCL8/PSMD1/GBP4/PSMA4/ST3GAL6/GBP1/HIF1A/NLRC5/PTPN2/IFI16/IFIT5/PSMD2/PTPRC/CCL3L1/LILRA4/FOXO3/OAS2/DOCK8/ADAM10/OAS3/UGCG/JAK3/CARD16/IL1B/RO60/CIITA/CEBPB/IL4R/LAPTM5/TNFRSF1A/IFI27/IFITM1/GPR35/CCR1/NFKBIA/ZBP1/VRK2/IRF1/TNFSF13B/IL1RN/WBP1L/PARP9/RIPOR2/OXSR1/IFIT3/TNFAIP3/TOLLIP/EGR1/CXCR4/NAIP/GBP5/FOS/ZFP36/STAT3/NFKBIZ/EREG/DUSP1"
"CD14_CD163_macrophage","GO:0034097","response to cytokine",-1.7013369447732,1.16257580575426e-07,3.64065085017354e-05,2.63878089277363e-05,471,"RC3H1/IFNGR1/IKBKE/PTPN1/NSMAF/YTHDF3/RNF113A/IFNAR2/GBP3/IL1RN/PSMC2/CALM1/APPL1/CD38/GPR35/PSMC5/SIN3A/PSMA1/SP100/NFKB2/IL18/PSME1/ETV3/CCL4/YBX3/RIPK1/PDE12/RBMX/GAPDH/RIPOR1/TANK/STAT4/TRAF1/IL12RB1/IL10RA/JAK2/PTPRC/CCR2/RO60/CISH/IFNG/HDAC4/RELB/TIFA/IRAK3/PIM1/NFE2L2/PSMB7/TNFRSF1B/RFFL/IFIH1/LIMS1/PSMC4/CSF2RB/CFL1/CX3CR1/TTLL12/USP10/CALCOCO2/GCH1/ANXA4/GIGYF2/DDOST/CD40/STAT1/NFKBIZ/CYLD/VRK2/CASP8/PSMA4/SAMHD1/OSM/BCL2L1/GBP1/KYNU/KLF2/TAX1BP1/BCL2/ABCA1/UGCG/SH2B3/PSMD1/GBP5/METTL3/CXCR4/BIRC3/TPR/MCL1/TRADD/PSMD12/IFI27/CD74/SOCS3/PLSCR1/SOCS1/FADD/CREB1/CCR1/MAP2K5/ZFP36L2/REL/EGR1/ADRM1/SOS1/STAT3/IRF1/IFIT5/KLF4/PTPN2/TNFRSF4/PARP9/FAS/NUB1/CXCL10/XBP1/TBK1/ERBIN/EIF5A/TAF9/IL10RB/ITGA4/GBP4/CXCL8/ZFP36/IL15/IL1B/FOS/PNPT1/HLA-DPA1/ADIPOR2/NAIP/CCL3L1/IL1R2/NFKBIA/TNFAIP3/CCL3/DUSP1/PADI2"
"CD1C_DC","GO:0031349","positive regulation of defense response",-1.87774194446957,7.22266683978642e-08,4.54290924627966e-05,3.19850793255631e-05,282,"GPS2/IRAK3/SLC15A3/HMGB2/SLC15A4/BRCC3/OTUD4/CCR7/PAK1/MAPK1/NOD2/VAMP8/NPLOC4/EMILIN2/CSNK1A1/IL18/TRAF3IP3/CASP4/NLRC4/ZC3HAV1/RELA/MNDA/LYPLAL1/MEF2C/CD47/PDPK1/CD300A/TRIM5/NINJ1/HEXIM1/OASL/IL15/USP15/LDLR/OAS1/PUM2/CASP1/PJA2/HAVCR2/CD300LF/NAGK/OSM/RNF125/CCL3/HLA-C/SLC46A2/PTGER4/MAP3K8/GBP1/RIPK2/NLRC5/IFI16/DDX3X/LILRA4/TLR8/OAS3/CTSS/RNF135/IL1B/GRN/CEBPB/PSPC1/CLEC7A/DHX58/TNFRSF1A/CD1D/PLSCR1/NEAT1/WDFY1/CCR1/BCL10/NFKBIA/ZBP1/IRF1/TLR5/PARP9/ZNFX1/MEFV/DDX60/TNFAIP3/HLA-E/PTGS2/NAIP/GBP5/EIF2AK2/RSAD2/STAT3/NFKBIZ/EREG"
"CD1C_DC","GO:0031347","regulation of defense response",-1.76979045578479,7.3688714457091e-08,4.54290924627966e-05,3.19850793255631e-05,423,"GPS2/IRAK3/SLC15A3/HMGB2/SLC15A4/BRCC3/TRIM22/OTUD4/CCR7/PAK1/MAPK1/NOD2/TTLL12/VAMP8/NPLOC4/NR4A3/ALOX5/EMILIN2/CSNK1A1/HLA-A/IL18/TRAF3IP3/CASP4/NLRC4/ZC3HAV1/RELA/MNDA/LYPLAL1/MEF2C/IL10RA/CD47/PDPK1/HLA-B/CD300A/BCL6/TRIM5/NINJ1/HEXIM1/OASL/IL15/USP15/PRKAR1A/ILRUN/PRKCD/LDLR/OAS1/PUM2/CASP1/PIM1/PJA2/HAVCR2/FCGR2B/CD300LF/JAK2/NAGK/OSM/C15orf39/NFE2L2/RNF125/CCL3/HLA-C/SLC46A2/PTGER4/MAP3K8/NR1D2/GBP1/RIPK2/NLRC5/PTPN2/PML/IFI16/PTPRC/DDX3X/LILRA4/FUT7/TLR8/OAS3/CTSS/RNF135/IL1B/GRN/CEBPB/PSPC1/CUL1/SMAD3/CLEC7A/DHX58/AOAH/TNFRSF1A/CD1D/PLSCR1/NEAT1/WDFY1/CCR1/BCL10/NFKBIA/ZBP1/CD300C/IRF1/TLR5/IL1RN/PARP9/ZNFX1/MEFV/CD300E/KLF4/DTX3L/DDX60/TNFAIP3/HLA-E/PTGS2/NAIP/GBP5/EIF2AK2/RSAD2/CD69/STAT3/HERC5/CLEC12A/NFKBIZ/EREG"
"CD1C_DC","GO:0006954","inflammatory response",-1.79931239216249,9.58921299342969e-08,4.88548970285351e-05,3.43970718362819e-05,359,"GPS2/HMGB2/BRCC3/CCR7/MAPK1/KDM6B/NOD2/IFNGR1/VAMP8/HDAC9/NR4A3/ALOX5/ADGRE2/SERPINA1/AIMP1/CSNK1A1/IL18/NFX1/CASP4/NLRC4/RELA/ABCF1/IL10RA/CD47/C3AR1/ACER3/ITGAL/BCL6/NINJ1/CD68/IL15/PRKAR1A/BLNK/APIP/PRKCD/LDLR/RELB/CASP1/CERS6/PJA2/HAVCR2/FCGR2B/JAK2/FCGR1A/OSM/C15orf39/CCL3/TXNIP/CXCL8/PTGER4/MAP3K8/NR1D2/GBP1/HIF1A/RIPK2/PTPN2/IFI16/CD163/PTPRC/CCL3L1/DDX3X/FUT7/TLR8/FCGR2A/IL1B/GRN/CEBPB/IL4R/NR3C1/CUL1/ZEB2/NR4A1/SMAD3/CLEC7A/AOAH/TNFRSF1A/IFI27/PER1/PLSCR1/NEAT1/CCR1/NFKBIA/ZBP1/TRIM14/TLR5/IL1RN/MEFV/KLF4/TNFAIP3/TOLLIP/HLA-E/CXCR4/PTGS2/NAIP/GBP5/EIF2AK2/FOS/ZFP36/CD69/STAT3/CLEC12A/NFKBIZ/NAMPT"
"CD1C_DC","GO:0032101","regulation of response to external stimulus",-1.70512304786951,1.05660766755415e-07,4.88548970285351e-05,3.43970718362819e-05,495,"GPS2/IRAK3/SLC15A3/HMGB2/SLC15A4/BRCC3/TRIM22/OTUD4/CCR7/PAK1/MAPK1/NOD2/TTLL12/VAMP8/NPLOC4/NR4A3/ALOX5/EMILIN2/CSNK1A1/HLA-A/IL18/TRAF3IP3/CASP4/NLRC4/ZC3HAV1/RELA/MNDA/LYPLAL1/IL10RA/CD47/C3AR1/PDPK1/HLA-B/CD300A/BCL6/USF1/TRIM5/NINJ1/HEXIM1/GPR183/ST3GAL4/OASL/IL15/USP15/PRKAR1A/TRIB1/ILRUN/DNM1L/PRKCD/LDLR/OAS1/PUM2/CASP1/PIM1/PJA2/HAVCR2/FCGR2B/CD300LF/AKIRIN1/JAK2/NAGK/OSM/C15orf39/NFE2L2/RNF125/CCL3/HLA-C/CXCL8/SLC46A2/PTGER4/MAP3K8/NR1D2/GBP1/RIPK2/NLRC5/PTPN2/PML/IFI16/PTPRC/DDX3X/LILRA4/FUT7/TLR8/ADAM10/OAS3/CTSS/RNF135/CARD16/IL1B/GRN/CEBPB/PSPC1/CUL1/SMAD3/CLEC7A/DHX58/SLC8B1/AOAH/TNFRSF1A/CD1D/PLSCR1/NEAT1/WDFY1/CCR1/BCL10/NFKBIA/ZBP1/CD300C/IRF1/TLR5/IL1RN/PARP9/RIPOR2/ZNFX1/MEFV/CD300E/KLF4/OXSR1/DTX3L/DDX60/TNFAIP3/HLA-E/PTGS2/PLAUR/NAIP/GBP5/EIF2AK2/RSAD2/CD69/STAT3/CD55/HERC5/CLEC12A/NFKBIZ/EREG/DUSP1"
"CD14_CD163_macrophage","GO:0006954","inflammatory response",-1.75521625884112,1.91977669282998e-07,5.58243636893632e-05,4.04620685468138e-05,416,"MAPK13/LPCAT3/ARNT/NFX1/NR1D2/CCL2/IL18RAP/IFI16/EIF2AK2/TMSB4X/NFAM1/CD47/RPS6KA5/CLU/HAVCR2/RBX1/F2R/FCGR3A/TXNIP/VPS35/MAP3K20/ZBP1/TLR7/CASP4/LIAS/IFNGR1/PIK3AP1/GBP3/IL1RN/APPL1/RB1/PSMA1/IL18/PJA2/CCL4/HMGB1/RIPK1/TLR5/PPARD/TRAF1/TNIP1/IL10RA/SMAD3/JAK2/PTPRC/CCR2/FUT7/ITCH/SLC39A8/IFNG/DDX3X/HDAC4/CXCL2/ITGB1/RELB/PRDX5/TNFRSF1B/ABCC1/CHID1/AOAH/ADGRE2/GRN/CX3CR1/LRRK2/AIMP1/MFHAS1/PARK7/CD40/NFKBIZ/USP14/CYLD/PRKAR1A/TLR1/CASP8/VAMP7/MKRN2/OSM/RIPK2/CD68/GBP1/CD163/CSNK1A1/PLA2G7/GBP5/HLA-E/PLCG2/HNRNPA0/NMI/CLOCK/TFRC/CXCR4/BIRC3/FAM76B/TRADD/TLR6/IFI27/PLSCR1/FFAR2/CCR1/HLA-DRB1/REL/PLD3/C3AR1/STAT3/HMOX1/KLF4/PTPN2/TNFRSF4/CLEC7A/ZEB2/FCGR1A/NEAT1/CXCL10/XBP1/TBK1/PER1/IL10RB/KLRG1/ABCD2/APOL2/CXCL8/ZFP36/PTPN22/IL15/IL1B/NLRP3/FOS/NAIP/NR4A1/CD69/RORA/CCL3L1/IL1R2/CLEC12A/NFKBIA/TNFAIP3/CCL3/NAMPT"
