"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","2/2","215/18842",0.00930232558139535,87.6372093023256,13.1637234763052,0.000129604859094335,0.00531379922286774,NA,"RPL11/RPS15A",2
"GO:0042254","ribosome biogenesis","2/2","329/18842",0.0060790273556231,57.2705167173252,10.6088174152554,0.000303975647785001,0.00623150077959251,NA,"RPL11/RPS15A",2
"GO:0000027","ribosomal large subunit assembly","1/2","28/18842",0.0357142857142857,336.464285714286,18.3025355975936,0.00296995407819012,0.0229854748669396,NA,"RPL11",1
"GO:1901798","positive regulation of signal transduction by p53 class mediator","1/2","38/18842",0.0263157894736842,247.921052631579,15.6982528576346,0.00402958154712096,0.0229854748669396,NA,"RPL11",1
"GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process","1/2","41/18842",0.024390243902439,229.780487804878,15.1093909549327,0.00434735992930169,0.0229854748669396,NA,"RPL11",1
"GO:1901740","negative regulation of myoblast fusion","1/2","47/18842",0.0212765957446809,200.446808510638,14.105269182788,0.00498276458189717,0.0229854748669396,NA,"RPL11",1
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion","1/2","49/18842",0.0204081632653061,192.265306122449,13.812195170051,0.00519452106260931,0.0229854748669396,NA,"RPL11",1
"GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process","1/2","57/18842",0.0175438596491228,165.280701754386,12.7980823659664,0.00604132163469162,0.0229854748669396,NA,"RPL11",1
"GO:1901739","regulation of myoblast fusion","1/2","58/18842",0.0172413793103448,162.431034482759,12.6862571477483,0.00614714635424074,0.0229854748669396,NA,"RPL11",1
"GO:1901799","negative regulation of proteasomal protein catabolic process","1/2","59/18842",0.0169491525423729,159.677966101695,12.5772784262838,0.00625296544002052,0.0229854748669396,NA,"RPL11",1
"GO:0060142","regulation of syncytium formation by plasma membrane fusion","1/2","65/18842",0.0153846153846154,144.938461538462,11.9769698161808,0.0068877616455485,0.0229854748669396,NA,"RPL11",1
"GO:0042255","ribosome assembly","1/2","67/18842",0.0149253731343284,140.611940298507,11.794961150499,0.00709931531057173,0.0229854748669396,NA,"RPL11",1
"GO:0007520","myoblast fusion","1/2","78/18842",0.0128205128205128,120.782051282051,10.9220172660335,0.00826245765370404,0.0229854748669396,NA,"RPL11",1
"GO:0042273","ribosomal large subunit biogenesis","1/2","78/18842",0.0128205128205128,120.782051282051,10.9220172660335,0.00826245765370404,0.0229854748669396,NA,"RPL11",1
"GO:0000768","syncytium formation by plasma membrane fusion","1/2","88/18842",0.0113636363636364,107.056818181818,10.2744716300165,0.00931926823806395,0.0229854748669396,NA,"RPL11",1
"GO:0140253","cell-cell fusion","1/2","89/18842",0.0112359550561798,105.85393258427,10.2157645147079,0.00942491831076975,0.0229854748669396,NA,"RPL11",1
"GO:0006949","syncytium formation","1/2","90/18842",0.0111111111111111,104.677777777778,10.1580339720176,0.00953056274970665,0.0229854748669396,NA,"RPL11",1
"GO:0042274","ribosomal small subunit biogenesis","1/2","109/18842",0.00917431192660551,86.4311926605505,9.21621452357183,0.0115367366733655,0.0253505040649927,NA,"RPS15A",1
"GO:1901796","regulation of signal transduction by p53 class mediator","1/2","111/18842",0.00900900900900901,84.8738738738739,9.13133409740933,0.0117477945667039,0.0253505040649927,NA,"RPL11",1
"GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","1/2","125/18842",0.008,75.368,8.59507185510267,0.0132245688379293,0.0258193963026239,NA,"RPL11",1
"GO:0042177","negative regulation of protein catabolic process","1/2","125/18842",0.008,75.368,8.59507185510267,0.0132245688379293,0.0258193963026239,NA,"RPL11",1
"GO:0014902","myotube differentiation","1/2","131/18842",0.00763358778625954,71.9160305343512,8.39185729835827,0.0138571340708775,0.0258246589502717,NA,"RPL11",1
"GO:2000058","regulation of ubiquitin-dependent protein catabolic process","1/2","161/18842",0.0062111801242236,58.5155279503106,7.55134846713494,0.0170169180002817,0.0303288468793998,NA,"RPL11",1
"GO:0072331","signal transduction by p53 class mediator","1/2","168/18842",0.00595238095238095,56.077380952381,7.3881510753749,0.0177534713440389,0.0303288468793998,NA,"RPL11",1
"GO:0006605","protein targeting","1/2","210/18842",0.00476190476190476,44.8619047619048,6.58557834318247,0.0221669942581356,0.0363538705833424,NA,"RPL11",1
"GO:0061136","regulation of proteasomal protein catabolic process","1/2","219/18842",0.0045662100456621,43.0182648401827,6.44409409520479,0.0231114562182814,0.0364449886519052,NA,"RPL11",1
