"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HBB",45.1398328399799,-22.5403088595038,3.4335961321764,-6.56463602351989,5.21601113584951e-11,5.2233135514397e-07
"MAZ",47.2401571494616,0.860179211893063,0.182789905432707,4.70583542267727,2.52828427962773e-06,0.00843941292539738
"PITPNA",36.9181095811041,0.848393747205697,0.179157263291255,4.73546945080572,2.18548624594103e-06,0.00843941292539738
"CLEC12A",151.547537132911,-0.698515501369251,0.155885772756203,-4.48094453405758,7.43134241117308e-06,0.0186043657263718
"RGS1",5.03562918249607,-3.63843609081379,0.985351013673144,-3.69252788125787,0.00022203598949646,0.277933549852194
"MIR4435-2HG",18.563805162301,-1.36351178121846,0.358795883028081,-3.80024366419985,0.000144553879670646,0.277933549852194
"DUSP1",1124.40217606319,-0.776112576421401,0.208783127562568,-3.71731463879338,0.00020135161724369,0.277933549852194
"KCTD5",14.2602275076364,0.996012253160458,0.266718224181841,3.73432395261227,0.000188220095756355,0.277933549852194
"WIPI1",11.5327587130833,-1.24125914158017,0.342383582655269,-3.62534655415982,0.000288574204870068,0.321086898618762
"LRP3",4.88820436475415,1.4484317666687,0.432943249558681,3.34554648477635,0.000821205926571222,0.822355614868421
"GNAI3",70.3208808827073,-0.446260962688328,0.139444602063699,-3.20027420268641,0.00137296900251003,0.859306974445967
"RGL1",12.9855639602716,-1.38731700679352,0.429107188885111,-3.23303137940427,0.00122484107903231,0.859306974445967
"HECA",35.4854015615725,0.793561521431643,0.244300866287341,3.24829597819876,0.00116098434918201,0.859306974445967
"PALM",3.77038376346379,-3.39775264774754,1.03136386141957,-3.29442670511151,0.000986226609842668,0.859306974445967
"KMT2B",19.6723542592477,0.706422046970417,0.220256154697422,3.20727494739417,0.00133998859705661,0.859306974445967
"KIAA0930",92.6976036962846,0.479120803080222,0.148858862132145,3.21862465034091,0.00128806972581762,0.859306974445967
"HCAR2",5.45066433280876,-3.38725688641605,1.075878185732,-3.1483646860183,0.00164186718028092,0.913425441296283
"ARSA",53.5452149910287,-0.602835336211045,0.190779263413393,-3.15985776140032,0.00157846177699093,0.913425441296283
"LINC01128",3.1562255765387,0.335442165660094,0.507718165225179,0.660685767489374,0.508813853022467,0.999641595182659
"NOC2L",33.9850987120369,-0.029961008190422,0.182258696431584,-0.164387262594456,0.869426290147829,0.999641595182659
"KLHL17",2.39961805298256,0.454730593175866,0.58939281418219,0.77152381609339,0.440396511402876,0.999641595182659
"HES4",198.16512799745,0.177813779586345,0.2847667841076,0.624418961444456,0.53235247567778,0.999641595182659
"ISG15",1129.76556398329,0.0711457389728694,0.456884673677793,0.155719250549961,0.87625432253148,0.999641595182659
"AGRN",8.41573093484191,0.313456495864181,0.452301151131155,0.693026084678893,0.488293181950463,0.999641595182659
"C1orf159",4.65772473174695,-0.348354831784199,0.461894404407046,-0.754187165855358,0.45073684295309,0.999641595182659
"SDF4",65.9602027473966,-0.0363898565138664,0.163087206206016,-0.223131276575415,0.823433336730646,0.999641595182659
"B3GALT6",15.9747078213632,0.326243379373383,0.344836699004018,0.946080797999931,0.344107376899025,0.999641595182659
"UBE2J2",34.433671628527,0.0312568072952379,0.200524791305782,0.155875027180924,0.876131530097595,0.999641595182659
"ACAP3",18.1836820408553,0.295202679402698,0.266299571940491,1.10853606429629,0.267630372871534,0.999641595182659
"PUSL1",10.9074954198372,0.0443480134616664,0.324987327485883,0.136460746961257,0.891457053606635,0.999641595182659
"INTS11",37.5921020180866,0.161451876322642,0.168068562164661,0.960631032021705,0.33673771985762,0.999641595182659
"CPTP",8.46633521809373,-0.0345931087957853,0.31442882123408,-0.110018886500332,0.912394396577618,0.999641595182659
"DVL1",5.32895523225574,0.415084345424228,0.432454039897365,0.959834588486538,0.3371384712861,0.999641595182659
"AURKAIP1",154.74291153457,0.000499421633219608,0.132179330591328,0.00377836406785656,0.99698530881814,0.999641595182659
"CCNL2",35.5559895225384,-0.043194928619728,0.191883948672251,-0.225109650487271,0.821893973642072,0.999641595182659
"MRPL20-AS1",7.52722210823946,0.076835637981517,0.50558355100503,0.151974164960032,0.879207312315421,0.999641595182659
"MRPL20",111.421930343419,0.127848064989275,0.168573849536323,0.758409832491412,0.448205673444747,0.999641595182659
"ATAD3B",10.9842730321791,-0.319066404207183,0.3332476044646,-0.957445454768685,0.338342464994925,0.999641595182659
"ATAD3A",7.25429260924331,0.251126628660633,0.320097465921467,0.784531761092557,0.432728152959469,0.999641595182659
"SSU72",125.980638048496,-0.149602675442027,0.128014923812352,-1.16863464810805,0.24255086235375,0.999641595182659
"FNDC10",8.63874725122488,0.761497944338376,0.382008271845564,1.99340695074328,0.0462169033806785,0.999641595182659
