"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006369","termination of RNA polymerase II transcription","1/2","19/18842",0.0526315789473684,495.842105263158,22.234406872163,0.00201580766889042,0.0349100523592544,NA,"MAZ",1
"GO:0120009","intermembrane lipid transfer","1/2","50/18842",0.02,188.42,13.672280419436,0.00530039085231138,0.0349100523592544,NA,"PITPNA",1
"GO:0006353","DNA-templated transcription termination","1/2","52/18842",0.0192307692307692,181.173076923077,13.404625973849,0.00551211353040859,0.0349100523592544,NA,"MAZ",1
"GO:0015914","phospholipid transport","1/2","112/18842",0.00892857142857143,84.1160714285714,9.08974403296982,0.0118533150627194,0.0415189371741277,NA,"PITPNA",1
"GO:0015748","organophosphate ester transport","1/2","178/18842",0.00561797752808989,52.9269662921348,7.17178253663121,0.0188052115361721,0.0415189371741277,NA,"PITPNA",1
"GO:0051897","positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","1/2","188/18842",0.00531914893617021,50.1117021276596,6.97275567962867,0.0198563883513914,0.0415189371741277,NA,"MAZ",1
"GO:2001234","negative regulation of apoptotic signaling pathway","1/2","199/18842",0.0050251256281407,47.3417085427136,6.77122434730677,0.0210120321477966,0.0415189371741277,NA,"MAZ",1
"GO:0007601","visual perception","1/2","201/18842",0.00497512437810945,46.8706467661692,6.73635261862286,0.0212220759626897,0.0415189371741277,NA,"PITPNA",1
"GO:0050953","sensory perception of light stimulus","1/2","204/18842",0.00490196078431373,46.1813725490196,6.68499941304797,0.0215370994317604,0.0415189371741277,NA,"PITPNA",1
"GO:0006367","transcription initiation at RNA polymerase II promoter","1/2","207/18842",0.00483091787439614,45.512077294686,6.6347545359222,0.0218520721969093,0.0415189371741277,NA,"MAZ",1
"GO:0051896","regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","1/2","265/18842",0.00377358490566038,35.5509433962264,5.83608461430819,0.02793157951884,0.0443907013228125,NA,"MAZ",1
"GO:0006352","DNA-templated transcription initiation","1/2","266/18842",0.0037593984962406,35.4172932330827,5.8246247664657,0.0280362324144079,0.0443907013228125,NA,"MAZ",1
"GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","1/2","294/18842",0.00340136054421769,32.0442176870748,5.52754599560332,0.030964226180034,0.0452554074938959,NA,"MAZ",1
"GO:2001233","regulation of apoptotic signaling pathway","1/2","317/18842",0.00315457413249211,29.7192429022082,5.31312499367546,0.0333660597104823,0.0452825096070832,NA,"MAZ",1
"GO:0007409","axonogenesis","1/2","357/18842",0.00280112044817927,26.3893557422969,4.9900234292179,0.0375360629534491,0.0475456797410356,NA,"PITPNA",1
"GO:0061564","axon development","1/2","414/18842",0.00241545893719807,22.756038647343,4.61176759928983,0.0434627430198852,0.0490606081503928,NA,"PITPNA",1
"GO:0006869","lipid transport","1/2","447/18842",0.00223713646532438,21.076062639821,4.42597473949432,0.0468856127006475,0.0490606081503928,NA,"PITPNA",1
"GO:0048667","cell morphogenesis involved in neuron differentiation","1/2","463/18842",0.00215982721382289,20.3477321814255,4.34296317712944,0.0485429774416952,0.0490606081503928,NA,"PITPNA",1
"GO:0010876","lipid localization","1/2","468/18842",0.00213675213675214,20.1303418803419,4.31787758220718,0.0490606081503928,0.0490606081503928,NA,"PITPNA",1
