"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902563","regulation of neutrophil activation","1/2","12/18842",0.0833333333333333,785.083333333333,27.9933071190733,0.00127337830391883,0.0245132877449859,0.00106041619661078,"CLEC12A",1
"GO:2001198","regulation of dendritic cell differentiation","1/2","13/18842",0.0769230769230769,724.692307692308,26.8929551913953,0.00137945654307947,0.0245132877449859,0.00106041619661078,"CLEC12A",1
"GO:0015670","carbon dioxide transport","1/2","14/18842",0.0714285714285714,672.928571428571,25.9126336309957,0.00148552914847089,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0015671","oxygen transport","1/2","14/18842",0.0714285714285714,672.928571428571,25.9126336309957,0.00148552914847089,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0015669","gas transport","1/2","20/18842",0.05,471.05,21.6696897614493,0.00212184647166702,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0019755","one-carbon compound transport","1/2","23/18842",0.0434782608695652,409.608695652174,20.2022515722757,0.00243992907738133,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0042744","hydrogen peroxide catabolic process","1/2","25/18842",0.04,376.84,19.3742248060018,0.00265195597901235,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0048821","erythrocyte development","1/2","34/18842",0.0294117647058824,277.088235294118,16.6013182319489,0.00360579816477824,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0070293","renal absorption","1/2","34/18842",0.0294117647058824,277.088235294118,16.6013182319489,0.00360579816477824,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0045429","positive regulation of nitric oxide biosynthetic process","1/2","35/18842",0.0285714285714286,269.171428571429,16.3611297512855,0.0037117524610174,0.0245132877449859,0.00106041619661078,"HBB",1
"GO:0032814","regulation of natural killer cell activation","1/2","36/18842",0.0277777777777778,261.694444444444,16.131001592649,0.00381770112348778,0.0245132877449859,0.00106041619661078,"CLEC12A",1
"GO:0097028","dendritic cell differentiation","1/2","38/18842",0.0263157894736842,247.921052631579,15.6982528576346,0.00402958154712096,0.0245132877449859,0.00106041619661078,"CLEC12A",1
"GO:0042119","neutrophil activation","1/2","42/18842",0.0238095238095238,224.309523809524,14.9272391050032,0.00445327478915747,0.0248772818804249,0.00107616215776892,"CLEC12A",1
"GO:0042743","hydrogen peroxide metabolic process","1/2","45/18842",0.0222222222222222,209.355555555556,14.4176206529168,0.00477098556610889,0.0248772818804249,0.00107616215776892,"HBB",1
"GO:0036230","granulocyte activation","1/2","50/18842",0.02,188.42,13.672280419436,0.00530039085231138,0.0257952354812487,0.00111587175838134,"CLEC12A",1
"GO:0045428","regulation of nitric oxide biosynthetic process","1/2","56/18842",0.0178571428571429,168.232142857143,12.912880519439,0.00593549128137327,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0080164","regulation of nitric oxide metabolic process","1/2","60/18842",0.0166666666666667,157.016666666667,12.4710271680233,0.0063587788920314,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0061515","myeloid cell development","1/2","62/18842",0.0161290322580645,151.951612903226,12.2662646896873,0.00657038889474615,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0070527","platelet aggregation","1/2","67/18842",0.0149253731343284,140.611940298507,11.794961150499,0.00709931531057173,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0006809","nitric oxide biosynthetic process","1/2","70/18842",0.0142857142857143,134.585714285714,11.5366651533822,0.00741660355483753,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0046209","nitric oxide metabolic process","1/2","79/18842",0.0126582278481013,119.253164556962,10.8517980097185,0.00836816406410112,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0032481","positive regulation of type I interferon production","1/2","80/18842",0.0125,117.7625,10.7828940052141,0.00847386484072898,0.0257983717959505,0.00111600743169216,"CLEC12A",1
"GO:2001057","reactive nitrogen species metabolic process","1/2","81/18842",0.0123456790123457,116.308641975309,10.7152645651144,0.00857955998358795,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0042542","response to hydrogen peroxide","1/2","83/18842",0.0120481927710843,113.506024096386,10.5836752408275,0.0087909333679983,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0098869","cellular oxidant detoxification","1/2","89/18842",0.0112359550561798,105.85393258427,10.2157645147079,0.00942491831076975,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0034109","homotypic cell-cell adhesion","1/2","92/18842",0.0108695652173913,102.402173913043,10.0453961155502,0.00974183472627244,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:0030101","natural killer cell activation","1/2","93/18842",0.010752688172043,101.301075268817,9.99043806996077,0.00984746226390165,0.0257983717959505,0.00111600743169216,"CLEC12A",1
"GO:0030218","erythrocyte differentiation","1/2","109/18842",0.00917431192660551,86.4311926605505,9.21621452357183,0.0115367366733655,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:1902106","negative regulation of leukocyte differentiation","1/2","109/18842",0.00917431192660551,86.4311926605505,9.21621452357183,0.0115367366733655,0.0257983717959505,0.00111600743169216,"CLEC12A",1
"GO:0034101","erythrocyte homeostasis","1/2","112/18842",0.00892857142857143,84.1160714285714,9.08974403296982,0.0118533150627194,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:1903707","negative regulation of hemopoiesis","1/2","114/18842",0.0087719298245614,82.640350877193,9.00820189730137,0.0120643391534431,0.0257983717959505,0.00111600743169216,"CLEC12A",1
"GO:0003014","renal system process","1/2","122/18842",0.00819672131147541,77.2213114754098,8.70221749746976,0.012908210165572,0.0257983717959505,0.00111600743169216,"HBB",1
"GO:1990748","cellular detoxification","1/2","123/18842",0.00813008130081301,76.5934959349593,8.66606989330275,0.013013668690127,0.0257983717959505,0.00111600743169216,"HBB",1
