"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MAZ",135.442751828241,0.722850736838949,0.115284356416275,6.27015459260442,3.60689818882398e-10,3.86587347878154e-06
"TESK1",27.2845373089364,1.23657916633884,0.205712525486091,6.0112001610833,1.84154860619868e-09,6.57923932041247e-06
"CENPB",27.5713399731836,1.06007438511077,0.175464726921534,6.04152414966472,1.52665151453613e-09,6.57923932041247e-06
"SAMD1",14.1692290749792,1.70149501317503,0.311592513113834,5.46064151597065,4.74417147731484e-08,0.000127120074734651
"CD3G",27.4151925340419,1.09117752114236,0.23005339606385,4.74314893764711,2.1042144658134e-06,0.00451059412891761
"YY1",150.297119351085,0.440823718685059,0.0978256614917068,4.50621761164815,6.59934095866611e-06,0.0117886227324972
"CCNL1",165.917811133164,-0.425649549429836,0.0955915162545704,-4.45279629518885,8.47591590730152e-06,0.0127126123415572
"DNLZ",46.217808784552,1.03206732994496,0.233050888556054,4.42850630752571,9.48879443295926e-06,0.0127126123415572
"MBD2",58.0155896162392,1.06499227096486,0.246311835431006,4.32375597827565,1.533949639323e-05,0.0182676358158489
"UBE2Q1",38.3953372150453,0.80293004800607,0.194532692291832,4.12748129143012,3.66758259610171e-05,0.0393091502650181
"B3GAT1",16.3630588761112,1.05918222046024,0.258687894331943,4.09444061228903,4.23188864207473e-05,0.041233984059779
"PPM1L",34.3335960154705,-0.814147310624255,0.204329929445953,-3.98447409457753,6.76297340056897e-05,0.0604046240894152
"ITGB1BP1",128.102419047549,-0.440046536366374,0.112486406030693,-3.91199747502204,9.15358691456762e-05,0.0633040591915192
"RHOQ",23.3302477562966,0.92537286259788,0.235202240569091,3.93437094969361,8.34148717975913e-05,0.0633040591915192
"PURA",82.8215219072367,0.703482262889902,0.180181736541546,3.90429283451652,9.45013012748934e-05,0.0633040591915192
"SLC25A28",27.6549929713527,0.974092382988208,0.247801150472091,3.93094374716358,8.46130694068296e-05,0.0633040591915192
"PPP2CB",14.4325329865017,0.956615374334648,0.25070802222083,3.81565522260008,0.000135822042244786,0.0856318028693889
"AMIGO2",9.43978543714589,1.12158399648971,0.300823342368959,3.72838087515858,0.000192713967416954,0.114750461265273
"NEAT1",379.864958646017,-0.660221405572108,0.178073956541548,-3.70756857653166,0.000209258760036487,0.118043967898477
"HECA",39.4315567427456,0.706559832357935,0.192260548137518,3.67501205630888,0.00023783818320941,0.127202341433334
"LDOC1",18.7323062410882,0.853677614833661,0.23305106186554,3.66304966817184,0.000249230189410339,0.127202341433334
"CTDNEP1",127.767252873807,0.963757368811388,0.264501839234362,3.64366981946561,0.000268778174683659,0.130943839829976
"HSPB1",71.6795575342441,0.628229198431697,0.174953623133004,3.59083274288126,0.000329623121479574,0.136008616612336
"ARHGEF10",8.42657958624424,-2.80268933276272,0.774831098857776,-3.61716164580168,0.000297851306050951,0.136008616612336
"CLSTN3",51.4575301705919,1.26086240158901,0.351654119365886,3.5855186450329,0.000336408965999102,0.136008616612336
"ZNRF1",6.63385376699376,1.24226021795144,0.34692838429106,3.58073964022853,0.000342622937911277,0.136008616612336
"ZFP36",760.022735851829,-0.720518739069147,0.200668589876023,-3.59059053294937,0.000329929604930229,0.136008616612336
"TIMP2",3.09787605927755,1.66960343805287,0.475185990896389,3.51357883026673,0.000442113206069258,0.169234619380368
"TRGV9",95.1177005496352,-0.5366885752945,0.153922016772092,-3.48675638839347,0.000488916493229145,0.170525511660856
"CYHR1",34.7723800779469,0.605139203120725,0.173670300003778,3.48441387564575,0.000493216165468047,0.170525511660856
"EEF2",871.959243116116,0.297773301798068,0.0850916187033369,3.49944338039006,0.000466230609565674,0.170525511660856
"MAPKAPK2",81.4919289340302,0.575452818096786,0.165852830327537,3.46965931760312,0.000521118903548849,0.174542262757393
"FOXK2",20.8364181972746,0.881390824643706,0.254705399221195,3.46043243425035,0.000539308555074559,0.175160881614822
"RGS2",22.9325512542645,-1.39925215443663,0.408717161242528,-3.42352190493495,0.000618152695702595,0.188150406131733
"LTBP3",46.9724327830812,0.528703797027771,0.154704361070248,3.41751062071027,0.000631966282957865,0.188150406131733
"PMAIP1",45.3679551702589,-1.13813902939559,0.331926125816795,-3.42889257841602,0.000606049347595685,0.188150406131733
"NFKBIZ",32.1482220539766,-1.32001597345314,0.387200755379285,-3.40912551206186,0.000651714878356968,0.188785947735946
"CD6",25.2659902420774,0.672154075080575,0.197679767984217,3.40021683521118,0.0006733243512843,0.189912905185924
"PITPNA",39.2047383756526,0.585426229761149,0.173543852727035,3.37336195181721,0.000742562708568713,0.204071464370243
"TADA2B",17.2267246718654,0.769805161040699,0.230960146775585,3.33306491092893,0.000858949001374132,0.209232168107453
"KLRC3",46.0885889051599,-0.893947268675289,0.268137159120046,-3.33391787848048,0.000856319358570124,0.209232168107453
"TMEM8A",38.3122326438118,0.709584216418764,0.212510020525513,3.33906238710083,0.000840616829998543,0.209232168107453
"CSNK2A2",37.2379341456272,0.661634576696923,0.197457985244648,3.35076130690368,0.000805897350173104,0.209232168107453
"UBE2M",71.9837283835967,0.91249848966668,0.272970792235518,3.34284295471209,0.000829248155029396,0.209232168107453
"LFNG",91.9462879399613,0.777300154072807,0.234620632049883,3.31300852478969,0.000922981666006539,0.210479095665066
"ZNF358",9.67774452416688,1.2425618789386,0.374412250168333,3.31869985124674,0.00090437581206337,0.210479095665066
"WIZ",12.8055202418602,0.780748369281653,0.235153628725527,3.32016296543291,0.000899649148617891,0.210479095665066
"ZNF626",17.9146759907719,0.688674472221013,0.208891949427441,3.29679757457682,0.000977939566114175,0.218365755616911
"TENT5C",17.6008086783679,-1.19759126029266,0.369454744484384,-3.24151003112446,0.00118898249599233,0.229788476588913
"SLC25A20",78.172213018398,-0.522761053438918,0.16030014864238,-3.26113891887378,0.00110965661075186,0.229788476588913
"ETV7",18.8547021637931,-1.61808026015421,0.499143610530385,-3.24171285781832,0.0011881366870871,0.229788476588913
"MAD1L1",105.810700508547,-0.548922738103444,0.168498076412051,-3.25773890000435,0.00112303684472287,0.229788476588913
"C9orf139",11.933779603162,-1.28606252927675,0.3957051385801,-3.25005263740445,0.0011538364954052,0.229788476588913
"BIVM",13.5987714677813,-1.02958286234035,0.314565064004485,-3.27303626548201,0.00106398825091018,0.229788476588913
"ZNF738",14.5333680604413,-1.00890445516805,0.309268935185722,-3.2622237165921,0.00110541867870866,0.229788476588913
"LINC01684",33.5210615981994,-0.620311527482271,0.191528966521382,-3.23873479165366,0.00120061155896428,0.229788476588913
"CHST2",257.882525770701,0.413367080044161,0.128187492800128,3.22470680262614,0.00126101742704925,0.233818528363284
"SLC9A3R2",8.02685259740128,1.11444154732841,0.345698741065145,3.22373620422991,0.00126529899655444,0.233818528363284
"MTURN",8.92107757976096,0.917577019292682,0.286712960540162,3.20033324466387,0.00137268775344223,0.24520778902323
