"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",46,0.732623846765896,2.76801680483925,1e-10,2.1245e-07,1.94585469110764e-07,2118,"tags=85%, list=20%, signal=68%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A",NA
"GO:1901740","negative regulation of myoblast fusion",46,0.732623846765896,2.76801680483925,1e-10,2.1245e-07,1.94585469110764e-07,2118,"tags=85%, list=20%, signal=68%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A",NA
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",54,0.65920586585901,2.57025158220313,4.79305688087153e-10,6.78856622894105e-07,6.21772814425973e-07,2118,"tags=78%, list=20%, signal=63%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/CAMK1/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/TYROBP/RPL29/RPL10A",0.801215574617779
"GO:1901739","regulation of myoblast fusion",52,0.652983162468607,2.53987317664563,1.11318858550776e-09,1.18248457495562e-06,1.08305161559887e-06,2118,"tags=77%, list=20%, signal=62%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A",0.788186810800237
"GO:0000768","syncytium formation by plasma membrane fusion",61,0.599947537547853,2.45419796068078,1.62202594884647e-08,9.84569750949808e-06,9.0177908618892e-06,2118,"tags=72%, list=20%, signal=58%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/CAMK1/RPL27/RPL34/RPL11/SH3PXD2A/RPL30/RPL38/RPL14/RPL28/RPL10/CD81/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/TYROBP/RPL29/RPL10A",0.73376198835648
"GO:0006949","syncytium formation",61,0.599947537547853,2.45419796068078,1.62202594884647e-08,9.84569750949808e-06,9.0177908618892e-06,2118,"tags=72%, list=20%, signal=58%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/CAMK1/RPL27/RPL34/RPL11/SH3PXD2A/RPL30/RPL38/RPL14/RPL28/RPL10/CD81/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/TYROBP/RPL29/RPL10A",0.73376198835648
"GO:0140253","cell-cell fusion",61,0.599947537547853,2.45419796068078,1.62202594884647e-08,9.84569750949808e-06,9.0177908618892e-06,2118,"tags=72%, list=20%, signal=58%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/CAMK1/RPL27/RPL34/RPL11/SH3PXD2A/RPL30/RPL38/RPL14/RPL28/RPL10/CD81/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/TYROBP/RPL29/RPL10A",0.73376198835648
"GO:0007520","myoblast fusion",57,0.59592197777654,2.36626238965058,4.38588098082126e-08,1.69414620795541e-05,1.55168856021287e-05,2118,"tags=72%, list=20%, signal=58%","RPL23/RPL17/RPL4/RPL12/RPL9/RPL36/RPL36A/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/CD81/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A",0.719512826338911
"GO:0006941","striated muscle contraction",92,0.518999587511098,2.28136246755874,2.76636787871443e-08,1.17542971166576e-05,1.07658998282519e-05,2133,"tags=57%, list=20%, signal=46%","EEF2/TPM1/ATP1A1/GRK2/RPL23/RPL17/GNAS/RPL4/RPL12/RPL9/RPL36/RPL36A/PRKACA/RPL27/RPL34/RPL11/RPL30/RPL38/RPL14/RPL28/RPL10/RPLP2/CHRNB1/RPL18/RPL15/RPL7A/FLNA/BIN1/RPL39/RPL24/RPL31/RPL35A/C12orf57/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/DMPK/RPL13/RPL19/RPL8/PIK3CA/UBA52/RPL6/RPL18A/RPL29/RPL10A/HSP90AA1",0.73376198835648
"GO:0014902","myotube differentiation",77,0.540131694017153,2.28055445808281,8.89561873931535e-08,2.69982028738221e-05,2.47279735060025e-05,2118,"tags=62%, list=20%, signal=50%","HDAC5/RPL23/RPL17/RPL4/RPL12/RPL9/MAML1/RPL36/RPL36A/TBX1/RPL27/RPL34/RPL11/ATP11A/RPL30/SELENON/RPL38/RPL14/RPL28/NACA/RPL10/CD81/RPLP2/RPL18/RPL15/RPL7A/RPL39/RPL24/RPL31/PLEKHO1/RPL35A/RPL5/RPL32/RPL37/RPL41/RPL35/RPL21/RPL7/RPL23A/DMPK/RPL13/RPL19/RPL8/UBA52/RPL6/RPL18A/RPL29/RPL10A",0.704975715167238
