"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0061620","glycolytic process through glucose-6-phosphate",17,0.748245372438777,2.24112549419994,3.14367034740564e-05,0.0182865919544465,0.0111815544716209,1158,"tags=53%, list=11%, signal=47%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/PFKM/ENO1/HK2",0.557332238758646
"GO:0006007","glucose catabolic process",16,0.753453631576886,2.19004821379833,2.88315199203604e-05,0.0182865919544465,0.0111815544716209,1158,"tags=56%, list=11%, signal=50%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/PFKM/ENO1/HK2",0.575610261071129
"GO:0061621","canonical glycolysis",16,0.753453631576886,2.19004821379833,2.88315199203604e-05,0.0182865919544465,0.0111815544716209,1158,"tags=56%, list=11%, signal=50%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/PFKM/ENO1/HK2",0.575610261071129
"GO:0061718","glucose catabolic process to pyruvate",16,0.753453631576886,2.19004821379833,2.88315199203604e-05,0.0182865919544465,0.0111815544716209,1158,"tags=56%, list=11%, signal=50%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/PFKM/ENO1/HK2",0.575610261071129
"GO:0042554","superoxide anion generation",21,0.694129421215561,2.18190247054281,3.87559898889257e-05,0.0182865919544465,0.0111815544716209,1498,"tags=57%, list=14%, signal=49%","NCF1/NCF4/GNAI2/NCF2/RAC2/CYBB/ITGB2/SYK/PRKCD/CYBA/SH3PXD2A/TGFB1",0.557332238758646
"GO:0071867","response to monoamine",22,0.678859461536828,2.16712485734195,6.19493847082535e-05,0.0218694182770341,0.0133723163034684,738,"tags=32%, list=7%, signal=30%","MBD2/AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.538434096309916
"GO:0071868","cellular response to monoamine stimulus",21,0.687351602921704,2.16059731039795,5.63871290796721e-05,0.0218694182770341,0.0133723163034684,738,"tags=33%, list=7%, signal=31%","MBD2/AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.557332238758646
"GO:0003073","regulation of systemic arterial blood pressure",17,0.715903688305948,2.14425650508851,0.000175173196899448,0.0255988503915789,0.0156527219931057,1085,"tags=47%, list=10%, signal=42%","CTSZ/GSK3A/PRCP/KLK1/MME/CYBA/ECE1/ENG",0.518848077743792
"GO:0061615","glycolytic process through fructose-6-phosphate",19,0.681927113108851,2.13020380429409,0.000105732635698065,0.0230218902043629,0.014077008991124,1158,"tags=47%, list=11%, signal=42%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/PFKM/ENO1/HK2",0.538434096309916
"GO:0006801","superoxide metabolic process",34,0.559214788943233,2.04300090767362,0.000238830758132964,0.0279213860101395,0.0170728640620001,1163,"tags=38%, list=11%, signal=34%","NCF1/NCF4/GNAI2/NCF2/RAC2/CYBB/ITGB2/SYK/PRDX1/PRKCD/CCS/CYBA/SH3PXD2A",0.518848077743792
"GO:0072526","pyridine-containing compound catabolic process",63,0.486771972115971,2.00760416115165,9.21731890498719e-05,0.0218694182770341,0.0133723163034684,1158,"tags=32%, list=11%, signal=28%","FOXK2/LDHA/TPI1/PKM/PGK1/TIGAR/PGAM1/CBFA2T3/GIT1/GPI/PFKL/JMJD8/PDXP/SIRT6/ZBTB7A/PFKM/EIF6/PNP/ENO1/HK2",0.538434096309916
"GO:0071870","cellular response to catecholamine stimulus",19,0.63763124701132,1.99183238503011,0.000565911809332543,0.0433551325038654,0.0265100121949425,738,"tags=32%, list=7%, signal=29%","AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.477270815362862
"GO:0006096","glycolytic process",57,0.485098712187574,1.9799063432357,0.000168328358091368,0.0255988503915789,0.0156527219931057,1158,"tags=32%, list=11%, signal=28%","FOXK2/LDHA/TPI1/PKM/PGK1/TIGAR/PGAM1/CBFA2T3/GIT1/GPI/PFKL/JMJD8/SIRT6/ZBTB7A/PFKM/EIF6/ENO1/HK2",0.518848077743792
"GO:0099024","plasma membrane invagination",28,0.56839570344331,1.96499475163848,0.000862089032206247,0.0557259738474569,0.0340743104899845,1261,"tags=39%, list=12%, signal=35%","SH3BP1/SNX9/CDC42/ITGB2/ALKBH4/PLCG2/XKR8/ANO6/ABCA7/RHOA/MYH9",0.477270815362862
"GO:1903350","response to dopamine",17,0.653219422200254,1.9565061867714,0.00196762072057289,0.0796234645959763,0.0486867158635649,738,"tags=35%, list=7%, signal=33%","AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.431707695803346
"GO:1903351","cellular response to dopamine",17,0.653219422200254,1.9565061867714,0.00196762072057289,0.0796234645959763,0.0486867158635649,738,"tags=35%, list=7%, signal=33%","AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.431707695803346
"GO:0071869","response to catecholamine",20,0.62710159824819,1.93959048944993,0.00105791043641008,0.0625225067918359,0.0382301315158515,738,"tags=30%, list=7%, signal=28%","AKT1/GNB1/GSK3A/HTR3A/GNAS/GNG2",0.45505986738723
"GO:0006177","GMP biosynthetic process",11,0.73672550402081,1.93870130643885,0.000983433310120203,0.0598303471171659,0.0365839784150653,2128,"tags=91%, list=20%, signal=72%","AMPD2/ADSL/IMPDH2/GART/PAICS/PFAS/HPRT1/GMPS/ATIC/PPAT",0.45505986738723
"GO:0006188","IMP biosynthetic process",10,0.752243741074934,1.91700346722936,0.00198748757044388,0.0796234645959763,0.0486867158635649,2128,"tags=90%, list=20%, signal=72%","AMPD2/ADSL/AMPD3/GART/PAICS/PFAS/HPRT1/ATIC/PPAT",0.431707695803346
"GO:0006304","DNA modification",22,0.599370871456307,1.91337322066506,0.00129562222985802,0.0669872596131582,0.040960157810434,2661,"tags=50%, list=26%, signal=37%","APOBEC3C/NEIL1/EXOSC4/PARP1/EXOSC5/NTHL1/OGG1/MBD4/TDG/NEIL2/APOBEC3G",0.45505986738723
"GO:0019320","hexose catabolic process",27,0.5658929311407,1.90950434633734,0.000560392942589351,0.0433551325038654,0.0265100121949425,1158,"tags=37%, list=11%, signal=33%","FOXK2/TPI1/PKM/PGK1/PGAM1/PFKL/GLB1/PFKM/ENO1/HK2",0.477270815362862
"GO:0019883","antigen processing and presentation of endogenous antigen",18,0.629465428045927,1.90528275272452,0.00218875849324166,0.0827613826035518,0.0506054332066647,1702,"tags=44%, list=16%, signal=37%","ERAP2/CD1C/CD74/CD1D/CD1A/HLA-DRB1/ERAP1/TAP1",0.431707695803346
"GO:0014812","muscle cell migration",26,-0.584053530191447,-1.90371793367579,0.00100648226748771,0.0603451759506764,0.0368987766377084,1955,"tags=46%, list=19%, signal=38%","CRK/CCL5/NFE2L2/DDR1/ANXA1/S100A11/MEF2C/SORL1/ITGB1BP1/DDIT3/TCP11L2/MDM2",0.45505986738723
