"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAMD1",27.4164725739867,1.62142423794009,0.256890373790723,6.31173606863522,2.75922505605808e-10,3.07267302242628e-06
"FAM13A",175.186146538336,-1.66358330133264,0.281335864015016,-5.91315759601784,3.35610783065197e-09,1.86868084010702e-05
"BHLHE40",41.0088648963941,-1.56031797102468,0.278043760793788,-5.61177120669828,2.00266110889281e-08,3.98824305937983e-05
"MAZ",178.184047564507,0.977057039082541,0.174704730798112,5.59261924172862,2.23669439865518e-08,3.98824305937983e-05
"GRAP",63.2441958618176,0.768170796181812,0.13628729375469,5.63640802468702,1.73633703402963e-08,3.98824305937983e-05
"WIZ",14.3023671342123,1.23961137023595,0.218100396382931,5.68367316517616,1.31832108130196e-08,3.98824305937983e-05
"CENPB",25.4859953595221,1.50711130023077,0.270441275920652,5.57278579277581,2.50697749781419e-08,3.98824305937983e-05
"TESK1",9.47912561603593,1.64887694181216,0.30666300179988,5.37683689305362,7.5805787731978e-08,0.000105521656522913
"ZNF358",11.1729517781779,1.39144013857326,0.266652310249644,5.21818144860839,1.80688410291834e-07,0.000223571793001096
"RFLNB",56.3811576360402,1.16778179151375,0.227000931630917,5.14439206537029,2.68388504209051e-07,0.000298877438287199
"AL499604.1",50.8713171970291,-1.00479734440758,0.20210084189618,-4.97176228946016,6.6347024909161e-07,0.000615700391157014
"GIT1",26.2645890000211,1.01103944254628,0.203106400889708,4.97788074682737,6.42842407835114e-07,0.000615700391157014
"AC007384.1",18.5509836997162,-1.32880045304861,0.270954046727163,-4.90415429885293,9.38307125675455e-07,0.000803768319347836
"DOK2",92.9447455597187,0.631090312487744,0.131789899025629,4.78860912068093,1.67941235398087e-06,0.0013358525695665
"NFKBIZ",239.98873193292,-0.82161203976185,0.173546182889618,-4.73425589708549,2.19860196269283e-06,0.00153022696603421
"ZNF787",18.4728932314459,0.9459281252261,0.199685993948633,4.73707798189105,2.16821749522836e-06,0.00153022696603421
"PRAG1",61.6848574711874,0.682913464271705,0.146418715825877,4.66411319358815,3.09950745550127e-06,0.0020303597073213
"TADA2B",26.761485236911,0.928878694556053,0.204003721729024,4.55324386576572,5.28249775923865e-06,0.00326810528038231
"YY1",166.491820943338,0.422392566945379,0.0936531789683299,4.51017863566827,6.47730579137098e-06,0.00379638301540564
"CPNE2",18.7562499231051,1.54307193469514,0.350170011148595,4.40663644963114,1.04988181013662e-05,0.00532436971733088
"PLLP",13.8385732213899,1.31902306573578,0.299354338942303,4.40622664898139,1.05186901743247e-05,0.00532436971733088
"AC020911.2",27.01372945015,-1.09693689734766,0.248763426948567,-4.40955855449947,1.0358154930859e-05,0.00532436971733088
"RPS6KA5",62.450712856691,-0.568734232446662,0.130013543196505,-4.37442299058849,1.21754093978197e-05,0.00542341436216482
"DBNDD1",7.48601513070313,2.86857171865623,0.653922709877671,4.38671371299041,1.15076093164524e-05,0.00542341436216482
"MBD2",61.699343812864,1.06313063845969,0.242785127881121,4.3788952302723,1.19282456207968e-05,0.00542341436216482
"TRADD",219.736713377072,-0.636628903628773,0.148691300881796,-4.28154774256008,1.85597892406899e-05,0.00794930049939702
"RAB43",47.6425712823703,0.587190295944998,0.138855257813124,4.22879410684799,2.34947234971711e-05,0.00902197382291369
"OPA1",43.7377799619876,-0.661930029353108,0.156184140635213,-4.23813856298716,2.25380660251237e-05,0.00902197382291369
"FBRSL1",34.2994162027609,0.81103421703439,0.191674604183613,4.2313076397824,2.32336641503244e-05,0.00902197382291369
"NEAT1",245.534233944079,-0.676187893273275,0.161006025596358,-4.19976762216638,2.67189055288536e-05,0.00991805773231044
"JUN",662.768900881205,-2.94765707307526,0.705044382086673,-4.18081066662963,2.90471655210752e-05,0.0104344914594417
"GADD45A",15.1647595757931,-1.2824486381685,0.307947696327289,-4.16450148341263,3.12033598344099e-05,0.0107764424492164
"ARHGAP15",331.533256246529,-0.422866273610493,0.101669763364341,-4.15921370934169,3.19345007923977e-05,0.0107764424492164
"AREG",26.4184639156966,-2.80554817025711,0.678785322797792,-4.13318920729356,3.57763967701657e-05,0.0113830272695019
"EFHC2",6.22455425028959,-2.4871445759081,0.601173837937261,-4.1371470595626,3.51650749755191e-05,0.0113830272695019
"PLEKHM2",36.4459039810694,0.703359197717248,0.171376064372625,4.10418572915716,4.05741411779039e-05,0.0123762023308748
"LFNG",104.149527038938,0.993401784924179,0.242228649731443,4.10109120463477,4.11206435203275e-05,0.0123762023308748
"TSPYL2",86.9306213615444,-0.495755395657718,0.121936702883632,-4.06567820790458,4.78929811663382e-05,0.0140351641649564
"BCL2",349.782742766967,-0.432062815202975,0.107110936180628,-4.03378805759255,5.4884825368147e-05,0.0156717285974278
"RPS18",14982.8398037306,-0.365673816389447,0.0908593095902923,-4.02461583780862,5.70683982852176e-05,0.0158878420826046
"TRBV7-2",188.730676089509,0.966739680962199,0.242340345642768,3.9891817369414,6.63016112432162e-05,0.0175793986382013
"BTBD2",34.6586549546463,0.826594786052289,0.207162480938389,3.99007958539618,6.60511286783988e-05,0.0175793986382013
"CHMP7",214.689210017555,0.472079941125226,0.119652210869671,3.94543433584718,7.96554593379155e-05,0.0206289115159774
"PPP2CB",15.0054842188453,0.983854972473653,0.2500852819955,3.9340778658512,8.35167076118709e-05,0.021137319453768
"ID3",59.1123469821459,1.24765064412334,0.318355194017019,3.91905226480032,8.88978378184649e-05,0.0219992515988095
"HIST1H3D",30.191371110017,-1.04855346969835,0.268354124173159,-3.90734993519888,9.33139605639981e-05,0.0225900927139279
"BPTF",187.06677473504,0.520780455716141,0.133842840639706,3.89098477906668,9.98381963568678e-05,0.0236552798857464
"DVL1",8.30291130076172,1.17669172108311,0.30545232586142,3.85229255585032,0.000117017098338953,0.0255510275902467
"LINC00339",40.1368431702103,-0.870671193532847,0.225452665760757,-3.86188023368406,0.000112517725294541,0.0255510275902467
"GTF2H2",16.1609190666835,-1.39555762850057,0.361844172838605,-3.85679177186319,0.000114884947763389,0.0255510275902467
"RNF227",8.44834865930761,-1.45344186365645,0.376677713241183,-3.85858205188217,0.000114046779437138,0.0255510275902467
"ANK3",60.8573055257871,-1.02376506309554,0.268269284719309,-3.81618441398057,0.000135531225827676,0.0290245332849422
"MAPKAPK2",35.5030141868099,0.598040734042881,0.157619461778623,3.7942061677817,0.000148116567261746,0.0300740497520556
"TAF4B",31.7768232604096,-0.810192146210059,0.213208098695846,-3.80000643111521,0.000144692332807493,0.0300740497520556
"CARD8-AS1",36.7394595950765,-0.997119445704512,0.262848909267745,-3.79350802132803,0.000148533830492372,0.0300740497520556
"CDC14A",128.257987697137,-0.572076564896359,0.151235022773211,-3.78269897016007,0.000155136993122145,0.030850099203718
"FOS",948.136113701764,-3.13421893242848,0.829548092105793,-3.77822450832515,0.000157950454739831,0.0308585309470659
"AOAH",9.28649726401875,1.3170780094641,0.350985307069669,3.75251608239735,0.00017506859704318,0.0336131706322905
"SREBF2",37.217884047702,-0.612458867774097,0.16344956985782,-3.74708155125069,0.000178903935428253,0.0337673597445598
"KCTD5",27.554405007408,1.15817353828029,0.310471127420352,3.73037437620477,0.000191195457192216,0.0354858768548752
"CYP4V2",66.0394794054559,-0.499524899752172,0.134436423215601,-3.71569614695166,0.000202644990730353,0.0369943379798888
"NSF",46.4942425679375,-0.62776355388337,0.170083105131403,-3.69092246639296,0.000223442244449335,0.0401331102288354
"NR4A2",41.9119959772151,-2.84626300172615,0.775440414006645,-3.67051155745122,0.000242065523698056,0.042383181251334
"SRRT",109.898186249284,0.344558616217758,0.0939129314573483,3.66891556754613,0.000243581501444449,0.042383181251334
