"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019098","reproductive behavior","1/2","26/18842",0.0384615384615385,362.346153846154,18.9964733036705,0.00275796097917425,0.0333809272272456,NA,"MBD2",1
"GO:0006346","DNA methylation-dependent constitutive heterochromatin formation","1/2","39/18842",0.0256410256410256,241.564102564103,15.4944468098631,0.00413551330828388,0.0333809272272456,NA,"MBD2",1
"GO:0060392","negative regulation of SMAD protein signal transduction","1/2","41/18842",0.024390243902439,229.780487804878,15.1093909549327,0.00434735992930169,0.0333809272272456,NA,"FAM89B",1
"GO:0003229","ventricular cardiac muscle tissue development","1/2","46/18842",0.0217391304347826,204.804347826087,14.2589046794244,0.00487687789088764,0.0333809272272456,NA,"MBD2",1
"GO:0071868","cellular response to monoamine stimulus","1/2","58/18842",0.0172413793103448,162.431034482759,12.6862571477483,0.00614714635424074,0.0333809272272456,NA,"MBD2",1
"GO:0071867","response to monoamine","1/2","59/18842",0.0169491525423729,159.677966101695,12.5772784262838,0.00625296544002052,0.0333809272272456,NA,"MBD2",1
"GO:0140719","constitutive heterochromatin formation","1/2","63/18842",0.0158730158730159,149.539682539683,12.1675477302104,0.00667618544544912,0.0333809272272456,NA,"MBD2",1
"GO:0060390","regulation of SMAD protein signal transduction","1/2","81/18842",0.0123456790123457,116.308641975309,10.7152645651144,0.00857955998358795,0.0375355749281973,NA,"FAM89B",1
"GO:0060395","SMAD protein signal transduction","1/2","96/18842",0.0104166666666667,98.1354166666667,9.83072258876362,0.0101643110741744,0.0376489463162516,NA,"FAM89B",1
"GO:0032355","response to estradiol","1/2","108/18842",0.00925925925925926,87.2314814814815,9.25953101390349,0.0114311992760427,0.0376489463162516,NA,"MBD2",1
"GO:0030512","negative regulation of transforming growth factor beta receptor signaling pathway","1/2","120/18842",0.00833333333333333,78.5083333333333,8.77585470369729,0.0126972762151548,0.0376489463162516,NA,"FAM89B",1
"GO:0030010","establishment of cell polarity","1/2","122/18842",0.00819672131147541,77.2213114754098,8.70221749746976,0.012908210165572,0.0376489463162516,NA,"FAM89B",1
