"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002399","MHC class II protein complex assembly","2/2","16/18842",0.125,1177.625,48.5115955943785,6.76052296949369e-07,2.66195591923814e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002503","peptide antigen assembly with MHC class II protein complex","2/2","16/18842",0.125,1177.625,48.5115955943785,6.76052296949369e-07,2.66195591923814e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002396","MHC protein complex assembly","2/2","21/18842",0.0952380952380952,897.238095238095,42.3387686703867,1.1830915196614e-06,2.66195591923814e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002501","peptide antigen assembly with MHC protein complex","2/2","21/18842",0.0952380952380952,897.238095238095,42.3387686703867,1.1830915196614e-06,2.66195591923814e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","2/2","27/18842",0.0740740740740741,697.851851851852,37.3333320169009,1.9774529685769e-06,3.55941534343842e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","2/2","32/18842",0.0625,588.8125,34.2882983024487,2.79434949405739e-06,4.06355719916352e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","2/2","34/18842",0.0588235294117647,554.176470588235,33.2627669443374,3.1605444882383e-06,4.06355719916352e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0002478","antigen processing and presentation of exogenous peptide antigen","2/2","39/18842",0.0512820512820513,483.128205128205,31.0533024265461,4.17462293366234e-06,4.69645080037013e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0019884","antigen processing and presentation of exogenous antigen","2/2","45/18842",0.0444444444444444,418.711111111111,28.9044385039331,5.5774314498323e-06,5.5774314498323e-05,NA,"HLA-DMA/HLA-DRA",2
"GO:0048002","antigen processing and presentation of peptide antigen","2/2","68/18842",0.0294117647058824,277.088235294118,23.4990591155922,1.28337261037555e-05,0.0001155035349338,NA,"HLA-DMA/HLA-DRA",2
"GO:0019882","antigen processing and presentation","2/2","104/18842",0.0192307692307692,181.173076923077,18.9832895068203,3.01744675205068e-05,0.000246882006985964,NA,"HLA-DMA/HLA-DRA",2
"GO:0050870","positive regulation of T cell activation","2/2","226/18842",0.00884955752212389,83.3716814159292,12.8355797364868,0.000143238580416147,0.00107428935312111,NA,"HLA-DMA/HLA-DRA",2
