"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:1901739","regulation of myoblast fusion",51,0.508011244735844,2.1476533684757,2.64245382930955e-05,0.0306972708929481,0.0268813915750602,2483,"tags=61%, list=27%, signal=44%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.575610261071129
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",45,0.52396541585714,2.13956954343934,2.9459952872311e-05,0.0306972708929481,0.0268813915750602,2483,"tags=62%, list=27%, signal=45%","RPL7/RPL36/RPL36A/RPL17/UBA52/RPL27/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.575610261071129
"GO:1901740","negative regulation of myoblast fusion",45,0.52396541585714,2.13956954343934,2.9459952872311e-05,0.0306972708929481,0.0268813915750602,2483,"tags=62%, list=27%, signal=45%","RPL7/RPL36/RPL36A/RPL17/UBA52/RPL27/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.575610261071129
"GO:0007520","myoblast fusion",56,0.489557510362396,2.12711166386238,2.31099683233968e-05,0.0306972708929481,0.0268813915750602,2483,"tags=57%, list=27%, signal=42%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/CD81/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.575610261071129
"GO:0003009","skeletal muscle contraction",17,0.660322771917197,2.0884815860587,0.000575149023017077,0.199768427327932,0.174935854658328,1138,"tags=35%, list=13%, signal=31%","TNNC2/GNAS/FKBP1A/GAA/SYNM/TNNT1",0.477270815362862
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",54,0.484898815665457,2.05836530972372,5.10203378523096e-05,0.0425305536336853,0.0372437168801815,2483,"tags=61%, list=27%, signal=45%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/TYROBP/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/CAMK1/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.557332238758646
"GO:0046621","negative regulation of organ growth",14,0.649090617626212,1.95837868540743,0.00243994600895352,0.25017669502083,0.21907803222189,833,"tags=50%, list=9%, signal=45%","VGLL4/WWC3/PAK1/NOG/GSK3A/CTDP1/YY1",0.431707695803346
"GO:0000768","syncytium formation by plasma membrane fusion",60,0.440471141648506,1.9482465277731,0.000193330584686948,0.0895335418861332,0.0784039143719484,2483,"tags=57%, list=27%, signal=41%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/TYROBP/CD81/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/CAMK1/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.518848077743792
"GO:0006949","syncytium formation",60,0.440471141648506,1.9482465277731,0.000193330584686948,0.0895335418861332,0.0784039143719484,2483,"tags=57%, list=27%, signal=41%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/TYROBP/CD81/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/CAMK1/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.518848077743792
"GO:0140253","cell-cell fusion",60,0.440471141648506,1.9482465277731,0.000193330584686948,0.0895335418861332,0.0784039143719484,2483,"tags=57%, list=27%, signal=41%","PLEKHO1/RPL7/RPL36/RPL36A/MAPK14/RPL17/UBA52/TYROBP/CD81/RPL27/EHD1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/CAMK1/RPL12/RPL35A/RPL38/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/RPLP2/RPL19/RPL15/RPL32",0.518848077743792
"GO:0043616","keratinocyte proliferation",12,-0.753536414444156,-1.93770805360453,0.000407334711229368,0.154342825127637,0.135156963416255,928,"tags=58%, list=10%, signal=52%","SRSF6/KLF9/CASK/NFKBIZ/EREG/ZFP36/AREG",0.49849310876659
"GO:0055022","negative regulation of cardiac muscle tissue growth",11,0.705493309570848,1.90900110769972,0.00236912659451168,0.25017669502083,0.21907803222189,833,"tags=55%, list=9%, signal=50%","VGLL4/PAK1/NOG/GSK3A/CTDP1/YY1",0.431707695803346
"GO:0061117","negative regulation of heart growth",11,0.705493309570848,1.90900110769972,0.00236912659451168,0.25017669502083,0.21907803222189,833,"tags=55%, list=9%, signal=50%","VGLL4/PAK1/NOG/GSK3A/CTDP1/YY1",0.431707695803346
"GO:0090231","regulation of spindle checkpoint",15,-0.684038268852008,-1.89939471977526,0.000974044146051594,0.225645868881464,0.197596554424998,1003,"tags=47%, list=11%, signal=42%","CDK5RAP2/DYNLL2/TPR/DYNC1I2/DYNC1H1/MAD1L1/DUSP1",0.477270815362862
"GO:0090266","regulation of mitotic cell cycle spindle assembly checkpoint",15,-0.684038268852008,-1.89939471977526,0.000974044146051594,0.225645868881464,0.197596554424998,1003,"tags=47%, list=11%, signal=42%","CDK5RAP2/DYNLL2/TPR/DYNC1I2/DYNC1H1/MAD1L1/DUSP1",0.477270815362862
"GO:1903504","regulation of mitotic spindle checkpoint",15,-0.684038268852008,-1.89939471977526,0.000974044146051594,0.225645868881464,0.197596554424998,1003,"tags=47%, list=11%, signal=42%","CDK5RAP2/DYNLL2/TPR/DYNC1I2/DYNC1H1/MAD1L1/DUSP1",0.477270815362862
"GO:0002283","neutrophil activation involved in immune response",12,0.665013412416168,1.88838138626701,0.00407651376526244,0.287908071408479,0.252119142191551,1612,"tags=58%, list=18%, signal=48%","STXBP2/DNASE1/LILRA2/TYROBP/SYK/SPI1/FCER1G",0.407017918923954
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity",15,0.619781959013096,1.88701388006324,0.00349871297492409,0.273321326196548,0.239345628506409,1786,"tags=40%, list=20%, signal=32%","ANK1/SH3BP1/LLGL2/DLG4/MSN/PDCD6IP",0.431707695803346
"GO:0071526","semaphorin-plexin signaling pathway",14,0.623943854229476,1.88250809953569,0.00454707194619267,0.287908071408479,0.252119142191551,2316,"tags=57%, list=26%, signal=43%","RAC1/SH3BP1/TYROBP/PLXNB2/PLXND1/FLNA/ARHGDIA/SEMA4B",0.407017918923954
"GO:0014902","myotube differentiation",75,0.421163347680794,1.87954095047881,0.000119043175781089,0.0826953261092634,0.0724157352724499,2408,"tags=52%, list=27%, signal=38%","PLEKHO1/SKI/RPL7/RBM38/RPL36/RPL36A/NACA/MAPK14/RPL17/UBA52/CD81/RPL27/EHD1/PIEZO1/RPL24/RPL34/RPL9/RPL41/RPL21/RPL31/CAV2/RPL12/RPL35A/RPL38/HDAC5/RPL18/RPL39/RPL30/RPL28/RPL23/RPL4/RPL10A/RPL7A/RPL37/PPP3CA/RPLP2/RPL19/NOTCH1/RPL15",0.538434096309916
"GO:0006144","purine nucleobase metabolic process",11,-0.745466240343602,-1.86640948703925,0.00113689137392292,0.225645868881464,0.197596554424998,1119,"tags=45%, list=12%, signal=40%","DPYD/APRT/HPRT1/GMPS/ADK",0.45505986738723
