"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0001738","morphogenesis of a polarized epithelium",10,-0.811557870382196,-2.05824801319264,5.31352814581246e-05,0.0208442118405729,0.0155569355356501,519,"tags=80%, list=16%, signal=68%","MSN/PAFAH1B1/CDC42/SH3BP1/ACTG1/RAB10/ACTB/RHOA",0.557332238758646
"GO:0019884","antigen processing and presentation of exogenous antigen",24,-0.641793035177314,-2.05101968972897,0.000129506148742831,0.0323294440407103,0.0241288603614054,678,"tags=54%, list=21%, signal=43%","CTSS/HLA-DMB/LNPEP/HLA-DRB1/MPEG1/IFI30/HLA-C/B2M/HLA-DRA/HLA-B/HLA-DPB1/HLA-DPA1/FCGR2B",0.518848077743792
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",23,-0.644282924497703,-2.03489113284324,0.000233797168773494,0.0428840454476823,0.032006215233281,678,"tags=57%, list=21%, signal=45%","CTSS/HLA-DMB/LNPEP/HLA-DRB1/MPEG1/IFI30/HLA-C/B2M/HLA-DRA/HLA-B/HLA-DPB1/HLA-DPA1/FCGR2B",0.518848077743792
"GO:0019882","antigen processing and presentation",46,-0.512976087755287,-1.9222821734522,0.000234253707835118,0.0428840454476823,0.032006215233281,678,"tags=46%, list=21%, signal=37%","CTSS/HLA-DMB/LNPEP/HLA-DRB1/PYCARD/RAB6A/WAS/CTSH/CALR/CD68/MPEG1/IFI30/HLA-C/B2M/RAB10/PDIA3/HLA-DRA/HLA-B/HLA-DPB1/HLA-DPA1/FCGR2B",0.518848077743792
"GO:0002181","cytoplasmic translation",125,-0.433314037736094,-1.89920804229761,3.81684740957319e-06,0.00349368766222933,0.00260748999092421,956,"tags=50%, list=29%, signal=37%","EIF3K/UBA52/RPL35A/RPS28/RPL31/RPL30/RPS15A/RPL7/EIF3L/SH3BGRL/EIF4A2/MTOR/ZC3H15/RPL12/EIF3B/RPS4X/RPL3/CNBP/RPL38/HNRNPU/EIF4A1/RPS3A/FAU/RPS18/RPS19/HHEX/EIF2S3/RPL4/RPS3/RPL36AL/RPL15/RPL10/RPS27A/RPS17/EIF3F/RPL8/RPL35/RPLP0/EIF5/CSDE1/EIF3H/RPL23A/RPL6/RPS21/RPLP2/RPS20/NEMF/RPL22/RPL39/RPS29/RPL24/RPS16/RPS7/YBX3/RPS13/RPLP1/RPL27A/RPS24/RPS14/RPL9/RPS6/RPS25",0.610526878385931
"GO:0008064","regulation of actin polymerization or depolymerization",44,-0.509832519928608,-1.87143026199416,0.000324595962928434,0.0446092125070125,0.033293781917764,784,"tags=52%, list=24%, signal=40%","NCKAP1L/TMOD3/EPS8/EVL/MTPN/ARFGEF1/PYCARD/WAS/ARPC5/CYFIP1/WASHC2C/ARF6/VASP/SH3BP1/COTL1/CAPZA1/TMSB4X/SSH2/GSN/CFL1/PFN1/ARPC3/CAPZA2",0.49849310876659
"GO:0030832","regulation of actin filament length",44,-0.509832519928608,-1.87143026199416,0.000324595962928434,0.0446092125070125,0.033293781917764,784,"tags=52%, list=24%, signal=40%","NCKAP1L/TMOD3/EPS8/EVL/MTPN/ARFGEF1/PYCARD/WAS/ARPC5/CYFIP1/WASHC2C/ARF6/VASP/SH3BP1/COTL1/CAPZA1/TMSB4X/SSH2/GSN/CFL1/PFN1/ARPC3/CAPZA2",0.49849310876659
"GO:0006412","translation",232,-0.383322032206183,-1.84384984400203,5.89676066386495e-07,0.000809625239148658,0.000604258282817604,875,"tags=40%, list=27%, signal=31%","MRPL4/RPS15A/RPL7/EIF3L/SH3BGRL/EIF4A2/MTOR/ZC3H15/RPL12/EIF3B/RPS4X/RPL3/EEF1B2/CNBP/TNRC6A/RPL38/RGS2/HNRNPU/EIF4A1/PML/RPS3A/MTPN/FAU/RPS18/EIF4A3/EIF1AX/RPS19/HHEX/EIF2S3/RPL4/MAP3K20/RPS3/AURKAIP1/USP16/RPL36AL/RPL15/BCL3/PPP1R15B/CALR/RPL10/EIF4G2/CNOT1/EIF5A/RPS27A/RPS17/CYFIP1/EIF3F/RPL8/RPL35/MRPL52/RPLP0/CAPRIN1/EIF5/CSDE1/EIF3H/PPP1R15A/ABTB1/AIMP1/PUM2/RPL23A/MRPL20/AGO1/RPL6/RPS21/RPLP2/EEF1A1/RPS20/NEMF/RPL22/RPL39/RPS29/UPF1/EIF4EBP2/RPL24/RPS16/RBM3/EIF4E3/BTG2/RPS7/YBX3/KHDRBS1/RPS13/DDX3X/RPLP1/RPL27A/RPS24/RPS14/RPL9/RPS6/EIF1/RPS25/ZFP36",0.659444398037935
"GO:0160307","protein biosynthetic process",232,-0.383322032206183,-1.84384984400203,5.89676066386495e-07,0.000809625239148658,0.000604258282817604,875,"tags=40%, list=27%, signal=31%","MRPL4/RPS15A/RPL7/EIF3L/SH3BGRL/EIF4A2/MTOR/ZC3H15/RPL12/EIF3B/RPS4X/RPL3/EEF1B2/CNBP/TNRC6A/RPL38/RGS2/HNRNPU/EIF4A1/PML/RPS3A/MTPN/FAU/RPS18/EIF4A3/EIF1AX/RPS19/HHEX/EIF2S3/RPL4/MAP3K20/RPS3/AURKAIP1/USP16/RPL36AL/RPL15/BCL3/PPP1R15B/CALR/RPL10/EIF4G2/CNOT1/EIF5A/RPS27A/RPS17/CYFIP1/EIF3F/RPL8/RPL35/MRPL52/RPLP0/CAPRIN1/EIF5/CSDE1/EIF3H/PPP1R15A/ABTB1/AIMP1/PUM2/RPL23A/MRPL20/AGO1/RPL6/RPS21/RPLP2/EEF1A1/RPS20/NEMF/RPL22/RPL39/RPS29/UPF1/EIF4EBP2/RPL24/RPS16/RBM3/EIF4E3/BTG2/RPS7/YBX3/KHDRBS1/RPS13/DDX3X/RPLP1/RPL27A/RPS24/RPS14/RPL9/RPS6/EIF1/RPS25/ZFP36",0.659444398037935
"GO:0006119","oxidative phosphorylation",68,-0.4569723182572,-1.83703429292946,0.000210354917769977,0.0428840454476823,0.032006215233281,579,"tags=35%, list=18%, signal=30%","COX6A1/NDUFB7/COX4I1/UQCRB/NDUFC1/NDUFB8/MT-ND6/COX7C/MT-ND4L/COX6C/NDUFB11/COX7B/NDUFB1/NDUFB9/NDUFA3/COX8A/NDUFB2/UQCRQ/NDUFA2/UQCRH/MT-ATP8/RHOA/ATP5MG/COX7A2",0.518848077743792
